model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate
A_total_collision,5,0.020029492273114347,-0.30662734363584754,0.00026885428144244217,0.0016817158095320571,0.004613333920514443,-0.11971874549008062,0.4834739318395475,,,,
B_mixed_collision,5,0.01002407008512085,-0.3199679065531722,0.00027022328654377345,0.0013734046735097497,0.004784280221385641,,,-0.10045861541824337,0.5763905226245515,,
C_critical_difference,5,0.02795185746594897,-0.2960641900454013,0.00026776532821354683,0.0001478672281396933,0.001344012276048734,,,,,0.25266286846669367,0.860239431569536
D_adjusted,5,,,,,,,,,,,
