workload_id,rho,capacity,quantizer,arrival_scheduling_mode,configured_fine_deltas,positive_fine_deltas,zero_fine_deltas,min_included_delta,max_included_delta,status,exponent,intercept,r_squared
workload_0343f07b75323e1bcd22acf4,0.8,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9607830628567136,-0.24091279213633604,0.9955040649220122
workload_0343f07b75323e1bcd22acf4,0.8,8,floor,preload_all,6,6,0,1e-05,0.003,complete,1.0166212293988435,0.9629953085075297,0.9972975267299086
workload_0343f07b75323e1bcd22acf4,0.8,8,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,1.030901962854881,0.7269815915119812,0.9965680178814572
workload_03747d4e586b362637cc002b,1.0,8,ceiling,preload_all,6,4,2,0.0001,0.003,two_or_more_missing,0.8993041228688188,-0.2432109955782491,0.9967049961870962
workload_03747d4e586b362637cc002b,1.0,8,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.1660349283527793,1.9348643968168509,0.9576690797838536
workload_03747d4e586b362637cc002b,1.0,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9940774632914348,0.5326979956728872,0.9961165103973605
workload_0377bbcf9a73c8fb4ac772cb,0.95,1,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.9057564822179991,-0.6929515054929474,0.8694065438514093
workload_0377bbcf9a73c8fb4ac772cb,0.95,1,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9796767989506006,0.38429489663131655,0.97916394395723
workload_0377bbcf9a73c8fb4ac772cb,0.95,1,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.8426860735609212,-0.726137243160744,0.9559994968497225
workload_0384fcc35043cdac35b005ef,1.25,1,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8660284854104431,-0.6395729417622786,0.9211729176375696
workload_0384fcc35043cdac35b005ef,1.25,1,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.1714551653946346,1.939236417982692,0.9904682926871248
workload_0384fcc35043cdac35b005ef,1.25,1,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9484742044417628,0.20943689811884633,0.9950010844169653
workload_038a8811b2824aabfe00d109,1.25,8,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.9414146072567101,0.13001585206247912,0.9283234539480923
workload_038a8811b2824aabfe00d109,1.25,8,floor,preload_all,6,5,1,3e-05,0.003,one_missing,1.0450550691942324,1.332145261211899,0.9942468091809242
workload_038a8811b2824aabfe00d109,1.25,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,1.003999599868104,0.8089137402924346,0.9982747878110008
workload_048666e41aa24925f3392201,1.25,8,ceiling,preload_all,6,5,1,3e-05,0.003,one_missing,0.9529527115040252,0.3337708936995412,0.9835075078469407
workload_048666e41aa24925f3392201,1.25,8,floor,preload_all,6,6,0,1e-05,0.003,complete,0.9585031337322607,0.5523466089246851,0.972082264445757
workload_048666e41aa24925f3392201,1.25,8,nearest,preload_all,6,6,0,1e-05,0.003,complete,1.110634548331502,1.373131874761807,0.952232983150163
workload_05a542f5600e93c860069a01,1.1,1,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8819558531412452,-0.5065696071550475,0.9759509333449783
workload_05a542f5600e93c860069a01,1.1,1,floor,preload_all,6,6,0,1e-05,0.003,complete,0.8506923817728042,-0.3968960493679849,0.978023336851568
workload_05a542f5600e93c860069a01,1.1,1,nearest,preload_all,6,5,1,3e-05,0.003,one_missing,0.9790273180277952,0.5132370203474591,0.9921091555331858
workload_05a7797186fd7e8817cd4390,1.25,16,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8868202382213243,-0.27465626094108087,0.9717181230151145
workload_05a7797186fd7e8817cd4390,1.25,16,floor,preload_all,6,6,0,1e-05,0.003,complete,0.8367901184580727,-0.09770387611691592,0.9860195818611839
workload_05a7797186fd7e8817cd4390,1.25,16,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.9783582521431086,0.6377421659781802,0.9929951026000877
workload_0609ba057c41dd1866540462,1.1,1,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.7523910763147409,-1.402665899448288,0.966059089331387
workload_0609ba057c41dd1866540462,1.1,1,floor,preload_all,6,6,0,1e-05,0.003,complete,0.8978219515869305,0.16442726291504325,0.9839596199364692
workload_0609ba057c41dd1866540462,1.1,1,nearest,preload_all,6,6,0,1e-05,0.003,complete,0.7343385823805829,-1.224792815934098,0.9821894918992438
workload_0617fe2346fb8937bf983015,1.25,4,ceiling,preload_all,6,6,0,1e-05,0.003,complete,0.8803777477684348,-0.42465745329566185,0.949658086905677
