model,predictor,n,pearson,spearman,slope,intercept,hc3_se_slope,hc3_ci95_low,hc3_ci95_high,r_squared,cv_rmse,cv_mae,folds,coefficient_const,coefficient_mean_signed_service_duration_error_pair,coefficient_rho,coefficient_inverse_capacity,coefficient_delta,hc3_se_const,hc3_se_mean_signed_service_duration_error_pair,hc3_se_rho,hc3_se_inverse_capacity,hc3_se_delta
service_signed,mean_signed_service_duration_error_pair,648,0.8520588904231846,0.8399255692403554,0.2829222721025486,3.0270159570709185e-05,0.02336281170758851,0.23713116115567512,0.3287133830494221,0.7260043527491877,0.0025300639459907254,0.0007297859062992993,648.0,,,,,,,,,,
arrival_signed,mean_signed_arrival_error_pair,648,0.8515699897789735,0.8381094099301838,0.28280369965123764,4.4654350626730906e-05,0.02337590220942126,0.23698693132077198,0.3286204679817033,0.7251714474921613,0.002533810694607668,0.0007400650294324294,648.0,,,,,,,,,,
service_absolute,mean_absolute_service_duration_error_pair,648,0.04806712626698485,-0.009632642210903571,0.016770997661081855,-6.753602096855966e-05,0.042361860686589245,-0.06625824928463307,0.09980024460679678,0.0023104486275662417,0.004812795556103157,0.001589807879592101,648.0,,,,,,,,,,
service_zero_tick,service_zero_tick_fraction_pair,648,-0.00172300105131943,0.010685032391037557,-58.568780198924046,4.609487693478259e-05,242.55626555718186,-533.9790606910004,416.84150029315236,2.9687326229543842e-06,0.004749586003235519,0.0015517976759414213,648.0,,,,,,,,,,
delta,delta,648,0.02844504346217975,-0.039509045323700025,0.004340418527480902,-2.504572595453609e-05,0.015636701307979024,-0.026307516036157986,0.03498835309111979,0.0008091204975649857,0.004796711027378187,0.0015681279412754572,648.0,,,,,,,,,,
rho,rho,648,0.00035317374317323896,-0.062437602862604226,7.052697196376626e-06,3.8030651340994825e-05,0.0007410308536126197,-0.001445367775884358,0.0014594731702771112,1.247316929742226e-07,0.004755868411798372,0.0015539294209208207,648.0,,,,,,,,,,
inverse_capacity,inverse_capacity,648,-0.004550318393719938,0.04354549996426585,-5.7391301875662766e-05,6.523816783584571e-05,0.0004362163393218796,-0.0009123753269465468,0.0007975927231952212,2.0705397484110932e-05,0.004754963992724863,0.001555478442514241,648.0,,,,,,,,,,
explanatory,mean_signed_service_duration_error_pair+rho+inverse_capacity+delta,648,,,,,,,,0.7264636582978526,,,,-7.250569399204226e-06,0.2828610162337892,7.3296849855742675e-06,-5.7323992469186986e-05,0.0031954613943895116,0.0005208745866627386,0.023682112593254784,0.0005623456711991762,0.00019885612573974665,0.008363669657159706
