filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-1.0_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=4,plot_run,ru,2026-07-28T10:05:50.922777+00:00
loss_rho-1.0_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=4,plot_run,ru,2026-07-28T10:05:50.922779+00:00
loss_rho-1.0_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T10:05:51.363466+00:00
loss_rho-1.0_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T10:05:51.363486+00:00
loss_rho-1.0_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=8,plot_run,ru,2026-07-28T10:05:51.363489+00:00
loss_rho-1.0_K-16_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=16,plot_run,ru,2026-07-28T10:05:51.954908+00:00
loss_rho-1.0_K-16_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=16,plot_run,ru,2026-07-28T10:05:51.954929+00:00
loss_rho-1.0_K-16_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=16,plot_run,ru,2026-07-28T10:05:51.954932+00:00
loss_rho-1.0_K-32_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=32,plot_run,ru,2026-07-28T10:05:52.401916+00:00
loss_rho-1.0_K-32_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=32,plot_run,ru,2026-07-28T10:05:52.401935+00:00
loss_rho-1.0_K-32_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.0;capacity=32,plot_run,ru,2026-07-28T10:05:52.401937+00:00
loss_rho-1.1_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-28T10:05:52.851026+00:00
loss_rho-1.1_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-28T10:05:52.851045+00:00
loss_rho-1.1_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-28T10:05:52.851047+00:00
loss_rho-1.1_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T10:05:53.509928+00:00
loss_rho-1.1_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T10:05:53.509950+00:00
loss_rho-1.1_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=8,plot_run,ru,2026-07-28T10:05:53.509953+00:00
loss_rho-1.1_K-16_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=16,plot_run,ru,2026-07-28T10:05:54.028645+00:00
loss_rho-1.1_K-16_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=16,plot_run,ru,2026-07-28T10:05:54.028671+00:00
loss_rho-1.1_K-16_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=16,plot_run,ru,2026-07-28T10:05:54.028672+00:00
loss_rho-1.1_K-32_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=32,plot_run,ru,2026-07-28T10:05:54.555664+00:00
loss_rho-1.1_K-32_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=32,plot_run,ru,2026-07-28T10:05:54.555680+00:00
loss_rho-1.1_K-32_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=32,plot_run,ru,2026-07-28T10:05:54.555682+00:00
loss_rho-1.25_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=4,plot_run,ru,2026-07-28T10:05:55.093386+00:00
loss_rho-1.25_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=4,plot_run,ru,2026-07-28T10:05:55.093402+00:00
loss_rho-1.25_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=4,plot_run,ru,2026-07-28T10:05:55.093404+00:00
loss_rho-1.25_K-8_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=8,plot_run,ru,2026-07-28T10:05:55.485152+00:00
loss_rho-1.25_K-8_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=8,plot_run,ru,2026-07-28T10:05:55.485167+00:00
loss_rho-1.25_K-8_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=8,plot_run,ru,2026-07-28T10:05:55.485169+00:00
loss_rho-1.25_K-16_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=16,plot_run,ru,2026-07-28T10:05:55.876023+00:00
loss_rho-1.25_K-16_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=16,plot_run,ru,2026-07-28T10:05:55.876040+00:00
loss_rho-1.25_K-16_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=16,plot_run,ru,2026-07-28T10:05:55.876043+00:00
loss_rho-1.25_K-32_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=32,plot_run,ru,2026-07-28T10:05:56.232764+00:00
loss_rho-1.25_K-32_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=32,plot_run,ru,2026-07-28T10:05:56.232780+00:00
loss_rho-1.25_K-32_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.25;capacity=32,plot_run,ru,2026-07-28T10:05:56.232783+00:00
policy_gap_ru.png,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:05:56.729778+00:00
policy_gap_ru.svg,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:05:56.729793+00:00
policy_gap_ru.pdf,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-28T10:05:56.729795+00:00
collision_scaling_ru.png,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-28T10:05:57.103797+00:00
