replication,rho,capacity,delta,quantizer,workload_seed,arrival_first,departure_first,loss_gap_AF_DF,absolute_policy_range,total_collision_rate,mixed_collision_rate,critical_acceptance_difference_rate
3,0.8,4,0.01,floor,9697755776493219522,0.12662,0.12614,0.0004800000000000082,0.0004800000000000082,0.020262075936103283,0.0103,0.00125
4,0.8,4,0.01,floor,17616530772490476404,0.12016,0.1197,0.0004600000000000021,0.0004600000000000021,0.018857248550492804,0.009940000000000001,0.0013
2,0.8,4,0.01,floor,13399388875480504355,0.11904,0.1186,0.00044000000000000983,0.00044000000000000983,0.01858378451492206,0.00993,0.00119
1,0.8,4,0.01,floor,16663929417440439331,0.11648,0.11612,0.0003599999999999992,0.0003599999999999992,0.01837616136618027,0.00986,0.00128
0,0.8,4,0.01,floor,15175339973080035355,0.1223,0.12196,0.00034000000000000696,0.00034000000000000696,0.018379374363429492,0.00979,0.00133
