rho,capacity,delta,quantizer,policy,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_collision_rate,mean_critical_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
0.8,4,0.01,floor,arrival_first,10,0.12090000000000001,0.0036114016977099343,0.7026468774580769,1.214048947106334,0.01950983719047426,0.001155,0.0011420254910562283,0.1186616300375298,0.12313836996247021
0.8,4,0.01,floor,departure_first,10,0.12059,0.0036926202681083296,0.7028948402160521,1.2165805610867542,0.01948627756749772,0.001175,0.0011677090581323941,0.11830129024606051,0.1228787097539395
0.8,4,0.01,floor,random_order,1000,0.12076184999999999,0.0034659515139997834,0.702757309492144,1.215682367599161,0.019495920812902016,0.00116735,0.00010960301043948287,0.1205470280995386,0.12097667190046138
0.8,4,0.1,floor,arrival_first,10,0.11427499999999999,0.0035893554048355572,0.7079428827039413,1.119643307053598,0.1793300114056719,0.010455,0.0011350538411116112,0.11205029447142123,0.11649970552857875
0.8,4,0.1,floor,departure_first,10,0.11064,0.003665439188479931,0.7108477701569834,1.1406449074601497,0.17982133507323014,0.011144999999999999,0.0011591136460435798,0.10836813725375459,0.11291186274624541
0.8,4,0.1,floor,random_order,1000,0.1126629,0.0033999556303411205,0.7092304827707822,1.130570215350412,0.17971015112906996,0.010771000000000001,0.00010751603735391427,0.11245216856678633,0.11287363143321366
0.8,8,0.01,floor,arrival_first,10,0.03775,0.0034621765793596757,0.7684662980553518,2.3369057511960722,0.020040674118262315,0.00033999999999999997,0.0010948363652467277,0.035604120724116416,0.03989587927588358
0.8,8,0.01,floor,departure_first,10,0.03765,0.0034228805283139973,0.7685460284580848,2.3382221136098074,0.02000335570529147,0.00033,0.0010824098628112694,0.03552847666888991,0.039771523331110094
0.8,8,0.01,floor,random_order,1000,0.0377309,0.003287382252198864,0.7684814615524632,2.337569220235571,0.01999789424505717,0.00033365,0.0001039561545656248,0.03752714593705137,0.037934654062948624
0.8,8,0.1,floor,arrival_first,10,0.032575,0.003096525831027771,0.772599778078512,2.090527842886611,0.18450036036199938,0.0032349999999999996,0.0009792074459593445,0.030655753405919684,0.03449424659408031
0.8,8,0.1,floor,departure_first,10,0.031755,0.0028627347065349924,0.7732552841624204,2.1125791961255707,0.18498923041800353,0.00355,0.0009052762009464288,0.029980658646145,0.033529341353855
0.8,8,0.1,floor,random_order,1000,0.032207599999999996,0.0028456800830618926,0.7728936905735768,2.100694381760521,0.18464928292791394,0.00338295,8.998830554652721e-05,0.0320312229211288,0.03238397707887119
1.0,4,0.01,floor,arrival_first,10,0.20006,0.0036367567969277288,0.7992802525625855,1.4871628442419942,0.021521059431309438,0.001995,0.0011500434774390066,0.19780591478421952,0.20231408521578045
1.0,4,0.01,floor,departure_first,10,0.1997,0.003704951641609732,0.7996390194512731,1.4910930885910665,0.02147934406177626,0.00201,0.001171608580826662,0.19740364718157974,0.20199635281842024
1.0,4,0.01,floor,random_order,1000,0.19986025000000002,0.003526742172011992,0.7994791811176913,1.489175944736052,0.021515153748383493,0.00199735,0.00011152537983727231,0.19964166025551897,0.20007883974448107
1.0,4,0.1,floor,arrival_first,10,0.19034500000000001,0.0038692843151041617,0.8089861544749561,1.3713274829414708,0.19587083086885454,0.017055,0.0012235751350493798,0.18794679273530324,0.1927432072646968
1.0,4,0.1,floor,departure_first,10,0.18628,0.003694229734780088,0.8130467485930796,1.404465526415277,0.19567970378049734,0.018235,0.0011682180161824828,0.18399029268828235,0.18856970731171765
1.0,4,0.1,floor,random_order,1000,0.18820335,0.003706949251102619,0.8111247240494959,1.3875205275866354,0.19576252747017064,0.017741550000000002,0.00011722402804139715,0.18797359090503885,0.18843310909496114
1.0,8,0.01,floor,arrival_first,10,0.10916,0.004851620576902343,0.8900187289612346,3.4756105391212904,0.023218639855250075,0.001205,0.0015342171365951502,0.1061529344122735,0.11216706558772649
1.0,8,0.01,floor,departure_first,10,0.10900000000000001,0.004888648984012751,0.8901782815399036,3.482570101568956,0.02321423952880327,0.001195,0.0015459265470548367,0.10596998396777253,0.1120300160322275
1.0,8,0.01,floor,random_order,1000,0.10899085,0.004586721791682411,0.890187638614959,3.478548018900297,0.02321515833445252,0.00120235,0.0001450448785524477,0.1087065620380372,0.1092751379619628
1.0,8,0.1,floor,arrival_first,10,0.0944,0.004276356185144336,0.9047677380071075,3.099101554826947,0.2019690237241023,0.008445,0.0013523025631204807,0.09174948697628385,0.09705051302371615
1.0,8,0.1,floor,departure_first,10,0.09299500000000001,0.004098200824752245,0.9061726019014481,3.1381304892641677,0.2026132255323058,0.009035,0.0012959648914997652,0.09045490881266047,0.09553509118733955
