model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate,coefficient_rho,standard_error_rho,coefficient_inverse_capacity,standard_error_inverse_capacity,coefficient_delta,standard_error_delta
A_total_collision,1620,0.3950013488896602,0.3946274313055377,0.0009523143048213137,0.00010135475218567063,3.050515824790793e-05,0.01077249130330513,0.0003314399138032595,,,,,,,,,,
B_mixed_collision,1620,0.38808622436711304,0.38770803291122136,0.0009577413095740932,9.06207553511841e-05,3.100101450738299e-05,,,0.020112796420389222,0.0006278620022660535,,,,,,,,
C_critical_difference,1620,0.7210112998478383,0.720838871726607,0.0006466903963316692,5.298464209070943e-05,1.915685630914486e-05,,,,,0.16248144461579767,0.00251267769314523,,,,,,
D_adjusted,1620,0.7600057974260548,0.7594113845404227,0.0005997958826488241,0.0008553111745604191,0.0001433349161976136,,,,,0.1622514267134647,0.004754305827887271,-0.0011793730437422612,0.00013519843915582217,0.0024457462565112146,0.0002234950385662716,-0.0004860447341869373,0.0006260272114318625
