replication,rho,capacity,delta,quantizer,workload_seed,arrival_first,departure_first,loss_gap_AF_DF,absolute_policy_range,total_collision_rate,mixed_collision_rate,critical_acceptance_difference_rate
3,0.8,4,0.01,floor,7817596547963397135,0.03906,0.03888,0.0001799999999999996,0.0001799999999999996,0.01365349017561833,0.00967,0.0004
2,0.8,4,0.01,floor,15898160722396055136,0.03866,0.0385,0.00016000000000000042,0.00016000000000000042,0.013309790582017542,0.00916,0.00032
4,0.8,4,0.01,floor,15383297904326798835,0.03642,0.03628,0.00014000000000000123,0.00014000000000000123,0.01326900963857405,0.00976,0.00034
0,0.8,4,0.01,floor,10821681666046025884,0.03852,0.03856,-3.999999999999837e-05,3.999999999999837e-05,0.01368104443124675,0.00946,0.0002
1,0.8,4,0.01,floor,12936522679633739919,0.03946,0.0395,-3.999999999999837e-05,3.999999999999837e-05,0.014065897428070556,0.00952,0.00037
