model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate,coefficient_rho,standard_error_rho,coefficient_inverse_capacity,standard_error_inverse_capacity,coefficient_delta,standard_error_delta
A_total_collision,2400,0.28216112498037493,0.2818617759916261,0.0007734962307375062,0.00012001335972711203,1.9917727939699715e-05,0.00689879251651223,0.0002247053394099579,,,,,,,,,,
B_mixed_collision,2400,0.2552863119195182,0.25497575575267906,0.0007878424597567511,0.00013653584053184713,2.032250137649742e-05,,,0.013588780433016659,0.0004739546577347548,,,,,,,,
C_critical_difference,2400,0.6278931185533283,0.6277379447078544,0.0005569017279874931,0.0001219685081068452,1.2777601444161583e-05,,,,,0.15188258740730973,0.0023876704616012765,,,,,,
D_adjusted,2400,0.6384536173266864,0.6378497820320337,0.000548942334612612,-7.660379052822697e-05,5.747541331428269e-05,,,,,0.13995300744399733,0.0037425124060461567,6.0860094589872315e-05,5.3743560174002254e-05,0.0012202915436572306,0.00014613613059742152,0.0009876646239390682,0.0004275505356267729
