rho,capacity,n_deltas,intercept,scaling_exponent,standard_error,ci95_low,ci95_high,r_squared
0.5,4,5,0.38058789432899687,0.9922867687052273,0.0064701575848488515,0.9796052598389235,1.004968277571531,0.9998724674098336
0.5,8,5,0.37936023420302245,0.9890914533283344,0.005390276769930255,0.9785265108592711,0.9996563957973976,0.9999109094185599
0.5,16,5,0.3484440207139139,0.9783590456677095,0.004472402287700191,0.9695931371838171,0.9871249541516018,0.9999373127495419
0.5,32,5,0.39396480057544725,0.9911510182361328,0.007569594624813409,0.9763146127714986,1.005987423700767,0.9998250512473158
0.8,4,5,0.581815212008161,0.9950752278649343,0.008218344996155588,0.9789672716724693,1.0111831840573993,0.9997954076928676
0.8,8,5,0.5726096261692293,0.9852437456849116,0.007371641267589148,0.9707953288004368,0.9996921625693863,0.9998320850610058
0.8,16,5,0.5698389835230362,0.9839211082759075,0.005547936722232043,0.9730471523003327,0.9947950642514823,0.9999046276957089
0.8,32,5,0.5813871442843688,0.985670895876273,0.006506936468241214,0.9729173003985202,0.9984244913540258,0.999869276476603
0.95,4,5,0.6042359752160742,0.9812141030653072,0.005928676134721811,0.9695938978412525,0.9928343082893619,0.9998904880324315
0.95,8,5,0.6082710866505616,0.9739539978528375,0.004943139177462995,0.9642654450650101,0.983642550640665,0.9999227290088725
0.95,16,5,0.6137351417479691,0.9705411624270076,0.004932092329885395,0.9608742614604322,0.980208063393583,0.999922532045819
0.95,32,5,0.6658855994561046,0.9835700057558566,0.007458833360609434,0.9689506923690622,0.9981893191426511,0.9998275045710481
1.0,4,5,0.6359898456236985,0.9847925678933848,0.006391251958059833,0.9722657140555875,0.997319421731182,0.9998736577129219
1.0,8,5,0.6667409207398185,0.9845582110239554,0.006929156052031398,0.9709770651619738,0.9981393568859369,0.9998514288059333
1.0,16,5,0.6583336363510197,0.9767342286299853,0.00586619029206954,0.965236495657529,0.9882319616024415,0.9998917983858133
1.0,32,5,0.7006089004332576,0.9867204479128983,0.00810275056759068,0.9708390568004205,1.002601839025376,0.9997977399599819
1.1,4,5,0.6883790758255506,0.9864109206239525,0.007430870230611725,0.9718464149719536,1.0009754262759516,0.9998297798639009
1.1,8,5,0.6428750216932739,0.9654195025444324,0.0066322459395028194,0.9524203005030069,0.978418704585858,0.9998584372861054
1.1,16,5,0.7012495542264947,0.9786168452912918,0.0056410137940647925,0.9675604582549248,0.9896732323276588,0.9999003294361118
1.1,32,5,0.7473370292630941,0.9893198814191925,0.007854870496508123,0.9739243352460365,1.0047154275923484,0.9998109208175583
1.25,4,5,0.7713161400778388,0.9916211749382102,0.011558171756101314,0.9689671582962517,1.0142751915801689,0.9995925906548349
1.25,8,5,0.7840054146717783,0.9897057787020721,0.008866008693225746,0.9723284016633497,1.0070831557407947,0.9997593084716343
1.25,16,5,0.7913583180523149,0.9879979179354968,0.009667078216040471,0.9690504446320576,1.0069453912389361,0.999712872397207
1.25,32,5,0.773295451395767,0.9846289405156177,0.007022404629948076,0.9708650274409194,0.9983928535903159,0.9998474256620788
