model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate,coefficient_rho,standard_error_rho,coefficient_inverse_capacity,standard_error_inverse_capacity,coefficient_delta,standard_error_delta
A_total_collision,810,0.6662126530920843,0.6657995499399706,0.00024930179564302673,3.653062969795068e-05,9.922445990059083e-06,0.0059183860287918425,0.00014737577596274842,,,,,,,,,,
B_mixed_collision,810,0.64050061906963,0.640055694093231,0.0002587256848727031,4.096428732297938e-05,1.0287655771042572e-05,,,0.012182309998758805,0.0003210800062464494,,,,,,,,
C_critical_difference,810,0.6761057256684216,0.6757048664180113,0.00024557949796981973,5.5476798349084644e-05,9.552860604514758e-06,,,,,0.1190206466407812,0.002898083895690401,,,,,,
D_adjusted,810,0.7082109235388532,0.7071248599788241,0.0002330907216938799,,,,,,,0.06726016863544229,0.006360531586741487,0.00018018938907313054,7.456250354346152e-05,-0.001074174701670389,0.0005798039529504504,0.005506351654546834,0.0005937362246577154
