capacity,n,mean_absolute_bias,max_absolute_bias
1,18,0.008069129629629627,0.01235099999999999
4,18,0.008200314814814815,0.017889000000000006
8,18,0.0101685,0.02722866666666666
16,18,0.011836592592592593,0.03597633333333334
