model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate,coefficient_rho,standard_error_rho,coefficient_inverse_capacity,standard_error_inverse_capacity,coefficient_delta,standard_error_delta
A_total_collision,120,0.4591219868567775,0.4545382748809875,0.0012156257508169168,5.359846416185394e-05,0.00017879465385858256,0.012794281650208706,0.0012783816305489196,,,,,,,,,,
B_mixed_collision,120,0.4640139884288942,0.4594717340935458,0.0012101158662091813,4.3720109588990736e-05,0.00017817438296252656,,,0.027976672792333315,0.0027680010524719838,,,,,,,,
C_critical_difference,120,0.6954603028549431,0.6928794579638833,0.0009121624354118827,6.336838454439265e-05,0.00011907101835863895,,,,,0.1987384881542728,0.012106727327198398,,,,,,
D_adjusted,120,0.7571118038485847,0.7486635187650572,0.0008146169309791112,0.0014708255044428701,0.0009570767463391903,,,,,0.19024275972353444,0.02864160688922914,-0.0023659389734375044,0.0008114537423278041,0.004469367791678186,0.0016097368149109988,0.0018336591343360127,0.003889864093986654
