model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate,coefficient_rho,standard_error_rho,coefficient_inverse_capacity,standard_error_inverse_capacity,coefficient_delta,standard_error_delta
A_total_collision,16,0.3680458039019559,0.3229062184663814,0.0010218637708661,-1.762071745773718e-05,0.0003988758818713,0.0764216586142029,0.0267635862238676,,,,,,,,,,
B_mixed_collision,16,0.5291302025044656,0.4954966455404989,0.0008820650582329,-9.557762303707055e-05,0.00032861720996,,,0.1434986861095619,0.0361787075829361,,,,,,,,
C_critical_difference,16,0.6625420350643523,0.638437894711806,0.0007467238842096,0.0001623339477531,0.0002349622934634,,,,,0.308226869213331,0.0587908311534113,,,,,,
D_adjusted,16,0.7261730718700045,0.626599643459097,0.0006726486551516,0.0016073549679924,0.0013734761337109,,,,,0.2399216582340472,0.0829121112065402,-0.001941984930091,0.0013933989613443,0.0004568984277242,0.0005938518669055,0.0469789909870699,0.0580345078070864
