model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate,coefficient_rho,standard_error_rho,coefficient_inverse_capacity,standard_error_inverse_capacity,coefficient_delta,standard_error_delta
A_total_collision,16,0.2562917464152721,0.2031697283020772,0.0011085403396512,0.0001977330161866,0.0004075681131861,0.0920138665774821,0.0418912436239149,,,,,,,,,,
B_mixed_collision,16,0.2563104498756149,0.2031897677238731,0.0011085264002667,0.0002245476558412,0.0003992717334365,,,0.1452855213365296,0.066141037247199,,,,,,,,
C_critical_difference,16,0.6625420350643523,0.638437894711806,0.0007467238842096,0.0001623339477531,0.0002349622934634,,,,,0.308226869213331,0.0587908311534113,,,,,,
D_adjusted,16,0.7261730718700045,0.626599643459097,0.0006726486551516,0.0016073549679924,0.0013734761337109,,,,,0.2399216582340472,0.0829121112065402,-0.001941984930091,0.0013933989613443,0.0004568984277242,0.0005938518669055,0.0469789909870699,0.0580345078070864
