rho,capacity,delta,quantizer,policy,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_collision_rate,mean_critical_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
0.5,4,0.0001,floor,arrival_first,20,0.032084999999999995,0.0010803094098695192,0.483278605580148,0.7339190655829066,0.0001543018767330513,3.0000000000000005e-06,0.0002415645277200927,0.03161153352566862,0.032558466474331374
0.5,4,0.0001,floor,departure_first,20,0.032083,0.001081115895243136,0.48327959602974585,0.7339250620069614,0.00015430174013051127,3.0000000000000005e-06,0.00024174486333191936,0.03160918006786944,0.03255681993213056
0.5,4,0.0001,floor,exact_within_tick,20,0.032084,0.001082017608573519,0.48327910015330894,0.7339221264332216,0.00015430183412333922,3.0000000000000005e-06,0.00024194649256221477,0.03160978487457806,0.032558215125421945
0.5,4,0.0001,floor,insertion_order,20,0.032084999999999995,0.0010803094098695183,0.483278605580148,0.7339190655829066,0.0001543018767330513,3.0000000000000005e-06,0.0002415645277200925,0.03161153352566862,0.032558466474331374
0.5,4,0.001,floor,arrival_first,20,0.032069,0.0010847939411412863,0.48328659689403547,0.7334283002485903,0.0015476069831534447,3.2000000000000005e-05,0.0002425672993971822,0.03159356809318152,0.03254443190681848
0.5,4,0.001,floor,departure_first,20,0.032051,0.0010867716556751692,0.4832955654352298,0.7334785972799279,0.0015475936086202142,3.2000000000000005e-05,0.00024300952981096732,0.03157470132157051,0.032527298678429496
0.5,4,0.001,floor,exact_within_tick,20,0.032061,0.0010828320567649876,0.4832905868644423,0.7334521812403065,0.0015476013652100814,3.2000000000000005e-05,0.00024212860871424232,0.03158642792692008,0.032535572073079916
0.5,4,0.001,floor,insertion_order,20,0.032069,0.0010847939411412857,0.48328659689403547,0.7334283002485903,0.0015476069831534447,3.2000000000000005e-05,0.00024256729939718205,0.03159356809318152,0.03254443190681848
0.5,4,0.01,floor,arrival_first,20,0.0319,0.0010706613794630338,0.48337098659673405,0.7281680343557453,0.01576269407320282,0.00030500000000000004,0.00023940716253630407,0.03143076196142884,0.032369238038571155
0.5,4,0.01,floor,departure_first,20,0.031741,0.001073321946109367,0.4834504056890035,0.7288974923956066,0.015764187642419023,0.00030500000000000004,0.00024000208332429103,0.031270595916684386,0.03221140408331561
0.5,4,0.01,floor,exact_within_tick,20,0.031825,0.0010677645117869296,0.4834084764057852,0.7285587011030774,0.015763948767326414,0.00030500000000000004,0.000238759403231745,0.03135703156966578,0.03229296843033422
0.5,4,0.01,floor,insertion_order,20,0.0319,0.001070661379463033,0.48337098659673405,0.7281680343557453,0.01576269407320282,0.00030500000000000004,0.00023940716253630388,0.03143076196142884,0.032369238038571155
0.5,4,0.03,floor,arrival_first,20,0.031559,0.001111309800948508,0.4835412321675257,0.7166679573290913,0.04586810799622188,0.000897,0.0002484964258982624,0.0310719470052394,0.03204605299476059
0.5,4,0.03,floor,departure_first,20,0.031078,0.0010907245298424348,0.4837814384975433,0.7187481487501058,0.04590380908823892,0.000919,0.00024389341934541822,0.03059996889808298,0.03155603110191702
0.5,4,0.03,floor,exact_within_tick,20,0.031308,0.0010905218451442594,0.4836665908069124,0.7177958334219299,0.045881154904379266,0.00091,0.00024384809766910627,0.030830057728568554,0.03178594227143145
0.5,4,0.03,floor,insertion_order,20,0.031559,0.0011113098009485067,0.4835412321675257,0.7166679573290913,0.04586810799622188,0.000897,0.0002484964258982621,0.0310719470052394,0.03204605299476059
0.5,4,0.1,floor,arrival_first,20,0.030414999999999998,0.0010301124108306671,0.48411249774684684,0.6787109839358422,0.14289225989222448,0.0028,0.00023034013750835623,0.02996353333048362,0.030866466669516375
0.5,4,0.1,floor,departure_first,20,0.028809,0.0010091053880594077,0.4849143968903132,0.6854878147085962,0.14300708553746935,0.002915,0.000225642824416214,0.028366740064144223,0.02925125993585578
0.5,4,0.1,floor,exact_within_tick,20,0.029605,0.0010372001786185326,0.48451690707832273,0.6821545559176498,0.14293707454976076,0.0028569999999999997,0.00023192501056659625,0.02915042697928947,0.03005957302071053
0.5,4,0.1,floor,insertion_order,20,0.030414999999999998,0.001030112410830666,0.48411249774684684,0.6787109839358422,0.14289225989222448,0.0028,0.000230340137508356,0.02996353333048362,0.030866466669516375
0.5,8,0.0001,floor,arrival_first,20,0.002025,0.0004662899481969063,0.49869164021764834,0.9652624757082477,0.00015925331277154238,0.0,0.0001042656021393138,0.0018206394198069448,0.0022293605801930547
0.5,8,0.0001,floor,departure_first,20,0.002025,0.0004662899481969064,0.49869164021764834,0.9652624757082477,0.00015925331277154238,0.0,0.00010426560213931381,0.0018206394198069448,0.0022293605801930547
0.5,8,0.0001,floor,exact_within_tick,20,0.002025,0.00046628994819690646,0.49869164021764834,0.9652624757082477,0.00015925331277154238,0.0,0.00010426560213931383,0.0018206394198069448,0.002229360580193055
0.5,8,0.0001,floor,insertion_order,20,0.002025,0.0004662899481969064,0.49869164021764834,0.9652624757082477,0.00015925331277154238,0.0,0.00010426560213931381,0.0018206394198069448,0.0022293605801930547
0.5,8,0.001,floor,arrival_first,20,0.00202,0.00046620528570690044,0.4986941496326825,0.9644686410660158,0.0015806846845679314,0.0,0.00010424667103103405,0.0018156765247791733,0.002224323475220827
0.5,8,0.001,floor,departure_first,20,0.00202,0.0004662052857069005,0.4986941496326825,0.9644686410660158,0.0015806846845679314,0.0,0.00010424667103103406,0.0018156765247791733,0.002224323475220827
0.5,8,0.001,floor,exact_within_tick,20,0.00202,0.00046620528570690044,0.4986941496326825,0.9644686410660158,0.0015806846845679314,0.0,0.00010424667103103405,0.0018156765247791733,0.002224323475220827
0.5,8,0.001,floor,insertion_order,20,0.00202,0.0004662052857069005,0.4986941496326825,0.9644686410660158,0.0015806846845679314,0.0,0.00010424667103103406,0.0018156765247791733,0.002224323475220827
0.5,8,0.01,floor,arrival_first,20,0.001995,0.0004738143096192854,0.49870663260532516,0.9562870257217593,0.01577151317095131,2.6000000000000002e-05,0.00010594810050208546,0.0017873417230159123,0.0022026582769840873
0.5,8,0.01,floor,departure_first,20,0.001981,0.0004691077757436536,0.4987136405348605,0.9564020552222967,0.01576866948612201,2.6000000000000002e-05,0.00010489568753365363,0.001775404452434039,0.0021865955475659613
0.5,8,0.01,floor,exact_within_tick,20,0.0019890000000000003,0.00047618992230544243,0.49870963489553094,0.95630127868901,0.01577147041529261,2.6000000000000002e-05,0.00010647930364753125,0.0017803005648508391,0.0021976994351491615
0.5,8,0.01,floor,insertion_order,20,0.001995,0.00047381430961928537,0.49870663260532516,0.9562870257217593,0.01577151317095131,2.6000000000000002e-05,0.00010594810050208545,0.0017873417230159123,0.0022026582769840873
0.5,8,0.03,floor,arrival_first,20,0.0019320000000000001,0.0004462427944280416,0.49873812219806224,0.9385808634404864,0.04654002646675473,5.9000000000000004e-05,9.978292228105654e-05,0.0017364254723291294,0.002127574527670871
0.5,8,0.03,floor,departure_first,20,0.0018960000000000001,0.00043791852162125696,0.4987561116920486,0.9389901527075413,0.04654009188759133,6.1e-05,9.792155829513419e-05,0.001704073745741537,0.002087926254258463
0.5,8,0.03,floor,exact_within_tick,20,0.001907,0.0004388633644217514,0.49875061776076157,0.9388501582212566,0.04654220730692929,6.1e-05,9.813283156812988e-05,0.0017146596501264656,0.0020993403498735345
0.5,8,0.03,floor,insertion_order,20,0.0019320000000000001,0.00044624279442804165,0.49873812219806224,0.9385808634404864,0.04654002646675473,5.9000000000000004e-05,9.978292228105654e-05,0.0017364254723291294,0.002127574527670871
0.5,8,0.1,floor,arrival_first,20,0.001735,0.0003992558868168317,0.49883668314900714,0.8798635290735977,0.14452877896959182,0.00016900000000000002,8.927633033393978e-05,0.001560018392545478,0.001909981607454522
0.5,8,0.1,floor,departure_first,20,0.0016469999999999998,0.00039790371752605264,0.498880625932031,0.8809091203109585,0.14454359799156313,0.000176,8.897397608881281e-05,0.0014726110068659266,0.001821388993134073
0.5,8,0.1,floor,exact_within_tick,20,0.001685,0.00039464174293041775,0.49886166395805187,0.8804292312342088,0.1445352387465444,0.000172,8.824457639514111e-05,0.0015120406302655235,0.0018579593697344767
0.5,8,0.1,floor,insertion_order,20,0.001735,0.0003992558868168317,0.49883668314900714,0.8798635290735977,0.14452877896959182,0.00016900000000000002,8.927633033393978e-05,0.001560018392545478,0.001909981607454522
0.5,16,0.0001,floor,arrival_first,20,1.1e-05,3.4012381646441025e-05,0.5004716849311721,0.9991768087523466,0.00017181906616130967,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.0001,floor,departure_first,20,1.1e-05,3.401238164644102e-05,0.5004716849311721,0.9991768087523466,0.00017181906616130967,0.0,7.605399743810833e-06,-3.9065834978692334e-06,2.5906583497869233e-05
0.5,16,0.0001,floor,exact_within_tick,20,1.1e-05,3.4012381646441025e-05,0.5004716849311721,0.9991768087523466,0.00017181906616130967,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.0001,floor,insertion_order,20,1.1e-05,3.401238164644102e-05,0.5004716849311721,0.9991768087523466,0.00017181906616130967,0.0,7.605399743810833e-06,-3.9065834978692334e-06,2.5906583497869233e-05
0.5,16,0.001,floor,arrival_first,20,1.1e-05,3.401238164644102e-05,0.5004716843760597,0.9982826771765282,0.0016345530747657595,0.0,7.605399743810833e-06,-3.9065834978692334e-06,2.5906583497869233e-05
0.5,16,0.001,floor,departure_first,20,1.1e-05,3.4012381646441025e-05,0.5004716843760597,0.9982826771765282,0.0016345530747657595,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.001,floor,exact_within_tick,20,1.1e-05,3.4012381646441025e-05,0.5004716843760597,0.9982826771765282,0.0016345530747657595,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.001,floor,insertion_order,20,1.1e-05,3.4012381646441025e-05,0.5004716843760597,0.9982826771765282,0.0016345530747657595,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.01,floor,arrival_first,20,1.1e-05,3.4012381646441025e-05,0.5004716913023904,0.9894325459176588,0.016001893871592458,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.01,floor,departure_first,20,1.1e-05,3.4012381646441025e-05,0.5004716913023904,0.9894325459176588,0.016001893871592458,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.01,floor,exact_within_tick,20,1.1e-05,3.4012381646441025e-05,0.5004716913023904,0.9894325459176588,0.016001893871592458,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.01,floor,insertion_order,20,1.1e-05,3.4012381646441025e-05,0.5004716913023904,0.9894325459176588,0.016001893871592458,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.03,floor,arrival_first,20,1.1e-05,3.4012381646441025e-05,0.5004716686482802,0.9701954104365328,0.04679522823052722,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
0.5,16,0.03,floor,departure_first,20,1.1e-05,3.4012381646441025e-05,0.5004716686482802,0.9701954104365328,0.04679522823052722,0.0,7.605399743810835e-06,-3.906583497869235e-06,2.5906583497869236e-05
