model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate,coefficient_rho,standard_error_rho,coefficient_inverse_capacity,standard_error_inverse_capacity,coefficient_delta,standard_error_delta
A_total_collision,2400,0.2821611249803749,0.2818617759916261,0.0007734962307375,0.0001200133597271,1.9917727939699715e-05,0.0068987925165122,0.0002247053394099,,,,,,,,,,
B_mixed_collision,2400,0.2552863119195182,0.254975755752679,0.0007878424597567,0.0001365358405318,2.032250137649742e-05,,,0.0135887804330166,0.0004739546577347,,,,,,,,
C_critical_difference,2400,0.6278931185533283,0.6277379447078544,0.0005569017279874,0.0001219685081068,1.2777601444161584e-05,,,,,0.1518825874073097,0.0023876704616012,,,,,,
D_adjusted,2400,0.6384536173266864,0.6378497820320337,0.0005489423346126,-7.660379052822697e-05,5.747541331428269e-05,,,,,0.1399530074439973,0.0037425124060461,6.086009458987232e-05,5.3743560174002254e-05,0.0012202915436572,0.0001461361305974,0.000987664623939,0.0004275505356267
