rho,capacity,quantizer,arrival_scheduling_mode,n_workloads,mean_slope,sd_slope,median_slope,q25_slope,q75_slope,iqr_slope,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_unit,aggregation
0.5,1,ceiling,preload_all,30,1.0207668762639484,0.1867406863864568,1.0002505321387631,0.8773727831717661,1.1398788649436042,0.2625060817718381,0.9567049859120034,1.0878609749783108,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,1,floor,preload_all,30,0.9578634087416364,0.11192933131848942,0.9463040340445683,0.8726343798156833,1.0554987350390361,0.18286435522335287,0.9194955568834667,0.9971383034673761,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,1,nearest,preload_all,30,0.9625874965942516,0.14408642687611553,0.9298572169256683,0.872076141742556,1.0518193429595128,0.17974320121695686,0.9123358761826251,1.0159073561012693,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,4,ceiling,preload_all,30,0.9830587261997362,0.16042968396531757,0.9702611837620236,0.8619732053453592,1.0308863684219147,0.16891316307655557,0.9293520158204926,1.0416355402163004,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,4,floor,preload_all,30,0.9908153705632098,0.10375916577934025,0.9796682303127779,0.9169414291270501,1.0606970834654899,0.14375565433843973,0.9550776387525518,1.027138368963448,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,4,nearest,preload_all,30,0.9777269255787785,0.14624421857107653,0.9484258137169039,0.8479514325090327,1.0954512826789518,0.24749985016991904,0.9265150828215752,1.0305543959783554,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,8,ceiling,preload_all,30,0.9657867736225213,0.14764335561346678,0.9510648434280728,0.8566350710458606,1.0415266514700008,0.18489158042414022,0.9149337434919366,1.0187818874567605,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,8,floor,preload_all,30,0.9834906079353066,0.09106605247202453,0.9705865167684136,0.9203900658460196,1.0496081105562387,0.12921804471021914,0.951402589398974,1.0162164879930715,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,8,nearest,preload_all,30,0.9846996981741576,0.14912706337035508,0.9552550582084511,0.9053386325273838,0.9944763474300287,0.08913771490264488,0.9340894464212366,1.0387215733537143,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,16,ceiling,preload_all,30,0.941349666978619,0.14960132323390943,0.907132379148198,0.8615102110143067,1.0296330311217625,0.16812282010745583,0.8904324028024005,0.9948300160656487,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,16,floor,preload_all,30,0.971510590588121,0.08861734718124253,0.9837138855366787,0.9214749364002137,1.0296524281295303,0.10817749172931657,0.9399749506471659,1.0024560183042814,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.5,16,nearest,preload_all,30,0.9517145809927519,0.0895584236434306,0.9293018728153741,0.9070489668110182,0.9802314743786238,0.07318250756760558,0.9218095185644216,0.9846378112640564,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,1,ceiling,preload_all,30,0.9870368260113707,0.12895306122267566,0.9741821271814413,0.8717302450770733,1.0888424311907472,0.2171121861136739,0.9414354099455013,1.0326293594445777,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,1,floor,preload_all,30,0.996993968417187,0.1399950292338385,0.9718897219220926,0.939280829422064,1.0453104166045228,0.1060295871824588,0.9489640394449833,1.0472850581565427,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,1,nearest,preload_all,30,1.0040360596193758,0.12476612770893762,0.9997961020106452,0.9031508992856859,1.0979957228492445,0.1948448235635586,0.9605218989732551,1.0475195615913864,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,4,ceiling,preload_all,30,0.9569821463933387,0.12303702403410216,0.9610248797345015,0.8540195386597949,1.0781624143335211,0.22414287567372626,0.9136015668464508,1.0005906423461968,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,4,floor,preload_all,30,0.9991655188305176,0.09240935239380628,0.998049706020594,0.9345407992057576,1.044108397510315,0.10956759830455731,0.9674017639356624,1.0320308089299248,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,4,nearest,preload_all,30,0.9890435690643236,0.1198417109019443,0.9617683763384581,0.9134102931975318,1.0764770353618627,0.16306674216433092,0.9474255644705784,1.0328193657547189,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,8,ceiling,preload_all,30,0.9685548704922022,0.1127357171729892,0.9559757873118475,0.8788806270315757,1.058768112039573,0.17988748500799745,0.9292290451441031,1.00879741429876,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,8,floor,preload_all,30,0.9779893806673392,0.0939864610561769,0.9870835446652362,0.9045527570016612,1.0231008032543072,0.11854804625264603,0.9463991072670535,1.0109864049160344,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,8,nearest,preload_all,30,0.9707668853880355,0.11808273382679216,0.9623667196420211,0.8996412689297706,1.011974013806579,0.11233274487680833,0.9302041093744519,1.0131612364115563,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,16,ceiling,preload_all,30,0.9444497292895292,0.12419924625855223,0.9222409058589516,0.8487484500834738,1.0142791708047405,0.16553072072126673,0.9018833111322987,0.9902314336113671,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,16,floor,preload_all,30,0.9758872008213466,0.08432029773727791,0.9925261794727117,0.9126729268803765,1.0324092652272885,0.119736338346912,0.946455842298334,1.005140653559818,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.8,16,nearest,preload_all,30,0.9876706427202986,0.09455094088506232,0.9803288225987237,0.9327358238742101,1.0543482801040183,0.12161245622980821,0.9552559458807944,1.0223504889695607,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,1,ceiling,preload_all,30,0.9507739050636069,0.14933503214721455,0.9173566086640459,0.8591263123308306,1.0610925135011209,0.2019662011702903,0.9008847856785384,1.004871711602993,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,1,floor,preload_all,30,0.984567628665409,0.1275803569939913,0.9775534320297516,0.8723297349528722,1.0386083886134179,0.16627865366054562,0.9399649901618485,1.0287173962165939,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,1,nearest,preload_all,30,1.0022947480187674,0.1553748062403204,0.9812256053784895,0.920963745159165,1.0911944316350712,0.17023068647590622,0.950959826216954,1.0594429879989233,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,4,ceiling,preload_all,30,0.9199209628524303,0.08521164369267803,0.9143104674614279,0.875525566253806,0.9718889121177285,0.09636334586392259,0.8910779448509208,0.9508307861766582,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,4,floor,preload_all,30,0.9992990190940919,0.11449584900623963,0.9781826573355759,0.9121578629899715,1.0409013345343312,0.12874347154435972,0.9603107868124258,1.0407885346172723,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,4,nearest,preload_all,30,1.0220078456267128,0.12759847428414228,1.0232976398420732,0.9451703429593636,1.1365585366373088,0.19138819367794513,0.9761019480896252,1.065509675975987,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
0.95,8,ceiling,preload_all,30,0.9644871550306854,0.08461382091779945,0.9618302149498688,0.9259259052518488,1.003850433148605,0.07792452789675608,0.934300778373635,0.9936172151939603,workload-design replication,"AF/DF midpoint, then one slope per workload-design"
