model,n,r_squared,adjusted_r_squared,cv_rmse,uncertainty,folding,validation_group,n_folds,train_test_groups_disjoint,coefficient_const,hc3_standard_error_const,coefficient_total_collision_rate,hc3_standard_error_total_collision_rate,bootstrap_ci95_low_coefficient_const,bootstrap_ci95_high_coefficient_const,bootstrap_ci95_low_coefficient_total_collision_rate,bootstrap_ci95_high_coefficient_total_collision_rate,bootstrap_unit,bootstrap_resamples,coefficient_mixed_collision_rate,hc3_standard_error_mixed_collision_rate,bootstrap_ci95_low_coefficient_mixed_collision_rate,bootstrap_ci95_high_coefficient_mixed_collision_rate,coefficient_critical_collision_rate,hc3_standard_error_critical_collision_rate,bootstrap_ci95_low_coefficient_critical_collision_rate,bootstrap_ci95_high_coefficient_critical_collision_rate,coefficient_rho,hc3_standard_error_rho,coefficient_inverse_capacity,hc3_standard_error_inverse_capacity,coefficient_delta,hc3_standard_error_delta,bootstrap_ci95_low_coefficient_rho,bootstrap_ci95_high_coefficient_rho,bootstrap_ci95_low_coefficient_inverse_capacity,bootstrap_ci95_high_coefficient_inverse_capacity,bootstrap_ci95_low_coefficient_delta,bootstrap_ci95_high_coefficient_delta
total,648,0.24036528770147758,0.2391893825740805,0.0035675962309885934,HC3,leave-analysis_configuration_id-out,analysis_configuration_id,648,True,0.00019621910183936938,6.76642276341441e-05,0.03805216943963779,0.006485820549583726,0.00019311700207176214,0.00019920931277181314,0.03788715888352515,0.03823936517224749,workload-paired replication within configuration,1000,,,,,,,,,,,,,,,,,,,,
mixed,648,0.21569943946452574,0.21448535190951723,0.0036210434342292177,HC3,leave-analysis_configuration_id-out,analysis_configuration_id,648,True,0.00023543028527784157,6.883476715130465e-05,,,0.00023227338478027938,0.0002384125389653822,,,workload-paired replication within configuration,1000,0.07480844133799003,0.01280131284932057,0.07445482521205515,0.07517251535944491,,,,,,,,,,,,,,,,
critical,648,0.8584537351258792,0.858234623260749,0.0015459023591271924,HC3,leave-analysis_configuration_id-out,analysis_configuration_id,648,True,-0.00022429066392178716,3.13824650406207e-05,,,-0.00022743662146432032,-0.0002211745130752601,,,workload-paired replication within configuration,1000,,,,,0.46317390280645854,0.021612940409948114,0.46194298842578413,0.4644611204561654,,,,,,,,,,,,
multivariable,648,0.903076859538316,0.9024739162072946,0.0012882011571860416,HC3,leave-analysis_configuration_id-out,analysis_configuration_id,648,True,0.0015822342062279029,0.0002316045826140553,,,0.0015696805857764132,0.0015953479949479196,,,workload-paired replication within configuration,1000,,,,,0.5502005403707594,0.020036392154637574,0.5486344718622133,0.5517909562356632,-0.0019068726778702283,0.0002744528660157123,0.0005971217877352696,0.00011233342039975888,-0.03175247941018349,0.004237492744048792,-0.0019224388226521654,-0.0018909198690123892,0.0005879393851963445,0.0006058811523535793,-0.032049209243413694,-0.031441538576688924
