model,n,r_squared,adjusted_r_squared,cv_rmse,uncertainty,folding,validation_group,n_folds,train_test_groups_disjoint,coefficient_const,hc3_standard_error_const,coefficient_total_collision_rate,hc3_standard_error_total_collision_rate,bootstrap_ci95_low_coefficient_const,bootstrap_ci95_high_coefficient_const,bootstrap_ci95_low_coefficient_total_collision_rate,bootstrap_ci95_high_coefficient_total_collision_rate,bootstrap_unit,bootstrap_resamples,coefficient_mixed_collision_rate,hc3_standard_error_mixed_collision_rate,bootstrap_ci95_low_coefficient_mixed_collision_rate,bootstrap_ci95_high_coefficient_mixed_collision_rate,coefficient_critical_collision_rate,hc3_standard_error_critical_collision_rate,bootstrap_ci95_low_coefficient_critical_collision_rate,bootstrap_ci95_high_coefficient_critical_collision_rate,coefficient_rho,hc3_standard_error_rho,coefficient_inverse_capacity,hc3_standard_error_inverse_capacity,coefficient_delta,hc3_standard_error_delta,bootstrap_ci95_low_coefficient_rho,bootstrap_ci95_high_coefficient_rho,bootstrap_ci95_low_coefficient_inverse_capacity,bootstrap_ci95_high_coefficient_inverse_capacity,bootstrap_ci95_low_coefficient_delta,bootstrap_ci95_high_coefficient_delta
total,648,0.24036528770147758,0.2391893825740805,0.0035675962309885934,HC3,leave-analysis_configuration_id-out,analysis_configuration_id,648,True,0.0001962191018393695,6.76642276341441e-05,0.038052169439637795,0.006485820549583726,0.0001933346441697122,0.00019922383508232108,0.03788281689940543,0.03822141821169243,workload-paired replication within configuration,1000,,,,,,,,,,,,,,,,,,,,
mixed,648,0.21569943946452586,0.21448535190951734,0.0036210434342292177,HC3,leave-analysis_configuration_id-out,analysis_configuration_id,648,True,0.0002354302852778419,6.883476715130462e-05,,,0.00023238620978730898,0.00023845342964536986,,,workload-paired replication within configuration,1000,0.07480844133799013,0.012801312849320573,0.07446426251711753,0.07516058203343452,,,,,,,,,,,,,,,,
critical,648,0.8447784824772924,0.8445382014904151,0.0016198964528441168,HC3,leave-analysis_configuration_id-out,analysis_configuration_id,648,True,-0.0002217767022179719,3.263360476811434e-05,,,-0.00022492302773942502,-0.00021883902865437916,,,workload-paired replication within configuration,1000,,,,,0.4549963914332999,0.022971641540732876,0.4537515819817469,0.4562070583723092,,,,,,,,,,,,
multivariable,648,0.8925305839088311,0.891862033886491,0.0013568498364528335,HC3,leave-analysis_configuration_id-out,analysis_configuration_id,648,True,0.0016096087915835305,0.00023735233097433838,,,0.0015966170142156441,0.0016219968086732986,,,workload-paired replication within configuration,1000,,,,,0.5450458073372376,0.021572189563153363,0.5433841178234593,0.5467056314997242,-0.0019538155782372513,0.0002831721355761817,0.0006648177632992499,0.00012329043510120566,-0.032947739263499545,0.004427667199614474,-0.0019692357641073912,-0.001938462518633633,0.0006552261812354739,0.0006742382121340235,-0.033240502502879465,-0.032637888029891086
