model,n,r_squared,adjusted_r_squared,cv_rmse,uncertainty,folding,coefficient_const,hc3_standard_error_const,coefficient_total_collision_rate,hc3_standard_error_total_collision_rate,coefficient_mixed_collision_rate,hc3_standard_error_mixed_collision_rate,coefficient_critical_collision_rate,hc3_standard_error_critical_collision_rate,coefficient_rho,hc3_standard_error_rho,coefficient_inverse_capacity,hc3_standard_error_inverse_capacity,coefficient_delta,hc3_standard_error_delta
total,38880,0.23920771887092918,0.23918815016160444,0.0035460455430273517,HC3,leave-workload_id-out,0.00019613701010387188,8.695731650183475e-06,0.038055271382863104,0.0008279743824957539,,,,,,,,,,
mixed,38880,0.21470537432102432,0.2146851753749448,0.0036022313041249214,HC3,leave-workload_id-out,0.00023533618942246407,8.867478780215572e-06,,,0.07481571451785678,0.0016361059254829979,,,,,,,,
critical,38880,0.847474314872185,0.8474703916846464,0.001588408947953054,HC3,leave-workload_id-out,-0.00022267409097450185,4.1869808895813e-06,,,,,0.4589251011560681,0.0028447684565969947,,,,,,
multivariable,38880,0.8933091018145415,0.8932981239729275,0.0013291488605635443,HC3,leave-workload_id-out,0.001592502560215836,2.996204040863389e-05,,,,,0.5470438137741918,0.0026588819166523466,-0.0019280546416710574,3.5666475573836585e-05,0.000634727106785844,1.532565841267082e-05,-0.03224885420045378,0.0005530988855643161
