rho,capacity,quantizer,policy,arrival_scheduling_mode,n,mean_slope,sd_slope,median_slope,q25_slope,q75_slope,bootstrap_ci95_low,bootstrap_ci95_high
0.5,1,ceiling,arrival_first,preload_all,30,1.0206261027664547,0.18653881999089778,1.0002887154244506,0.8774136510609702,1.1399384646317254,0.9561934311745908,1.0871134939007516
0.5,1,ceiling,arrival_first,schedule_next_after_transition,30,1.0206261027664547,0.18653881999089778,1.0002887154244506,0.8774136510609702,1.1399384646317254,0.9561934311745908,1.0871134939007516
0.5,1,ceiling,departure_first,preload_all,30,1.0209060297406378,0.18694377434309012,1.000212342183375,0.8773319066848873,1.1398192540698686,0.9563407562733818,1.0875121489470914
0.5,1,ceiling,departure_first,schedule_next_after_transition,30,1.0209060297406378,0.18694377434309012,1.000212342183375,0.8773319066848873,1.1398192540698686,0.9563407562733818,1.0875121489470914
0.5,1,floor,arrival_first,preload_all,30,0.9578821345505754,0.1119164256133006,0.9463428993081413,0.8726631968673675,1.0556383028188268,0.9182044959427916,0.9973618515489608
0.5,1,floor,arrival_first,schedule_next_after_transition,30,0.9578821345505754,0.1119164256133006,0.9463428993081413,0.8726631968673675,1.0556383028188268,0.9182044959427916,0.9973618515489608
0.5,1,floor,departure_first,preload_all,30,0.9578442963201247,0.11194288007231827,0.9462651606436413,0.8726055580426455,1.0553589825914869,0.9182062013716484,0.9973508789522997
0.5,1,floor,departure_first,schedule_next_after_transition,30,0.9578442963201247,0.11194288007231827,0.9462651606436413,0.8726055580426455,1.0553589825914869,0.9182062013716484,0.9973508789522997
0.5,1,nearest,arrival_first,preload_all,30,0.9625539506180979,0.14411408909483897,0.9298940846137951,0.8721263818550893,1.0518601647844035,0.9125841529696914,1.014182000862583
0.5,1,nearest,arrival_first,schedule_next_after_transition,30,0.9625539506180979,0.14411408909483897,0.9298940846137951,0.8721263818550893,1.0518601647844035,0.9125841529696914,1.014182000862583
0.5,1,nearest,departure_first,preload_all,30,0.9626208782591358,0.14405897970448284,0.9298203422572748,0.872025890995316,1.0517785142012095,0.912680372207161,1.0142276019384404
0.5,1,nearest,departure_first,schedule_next_after_transition,30,0.9626208782591358,0.14405897970448284,0.9298203422572748,0.872025890995316,1.0517785142012095,0.912680372207161,1.0142276019384404
0.5,4,ceiling,arrival_first,preload_all,30,0.9830957169031829,0.16044925851436373,0.9702627138323077,0.8619756970749592,1.0308878991880543,0.9288176660335766,1.041131126467586
0.5,4,ceiling,arrival_first,schedule_next_after_transition,30,0.9830957169031829,0.16044925851436373,0.9702627138323077,0.8619756970749592,1.0308878991880543,0.9288176660335766,1.041131126467586
0.5,4,ceiling,departure_first,preload_all,30,0.9830211422284258,0.16041080166962776,0.9702596536683336,0.8619707135807049,1.0308848376413229,0.9287631325022611,1.041007338133513
