analysis_configuration_id,rho,capacity,delta,quantizer,arrival_scheduling_mode,n_workloads,absolute_policy_gap,total_collision_rate,mixed_collision_rate,critical_collision_rate,inverse_capacity,policy_gap_bootstrap_ci95_low,policy_gap_bootstrap_ci95_high,aggregation,bootstrap_unit
analysis_configuration_8e6de82caee8237a5ac74398,0.8,8,3e-05,floor,schedule_next_after_transition,30,2.6666666666667892e-06,7.411150383446416e-05,3.6666666666666666e-05,2.666666666666667e-06,0.125,0.0,7.333333333333729e-06,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_8ecc42ceb13514187c2bf826,1.25,16,0.0001,ceiling,schedule_next_after_transition,30,8.133333333333325e-05,0.00018162267046931065,9.566666666666667e-05,1.3333333333333333e-05,0.0625,3.599999999999898e-05,0.00013933333333333208,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_8f3f6124902efc09b543cecf,0.5,16,0.01,ceiling,schedule_next_after_transition,30,0.0,0.007475711148453341,0.004986,0.0,0.0625,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_8ff9668ff463c4ec77014cf5,0.95,16,1e-05,ceiling,schedule_next_after_transition,30,0.0,1.3584327878871942e-05,7.333333333333335e-06,0.0,0.0625,0.0,0.0,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_90062b5a3d5c6fc949cfa821,1.1,8,3e-05,nearest,schedule_next_after_transition,30,7.999999999997824e-06,6.437840594239527e-05,3.0000000000000004e-05,6e-06,0.125,1.9999999999992245e-06,1.5333333333330163e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_9029814d4e2998de3bb40fad,1.25,1,0.0001,ceiling,schedule_next_after_transition,30,3.133333333332766e-05,0.00014401166486791958,4.8e-05,4.8e-05,1.0,2.066666666666883e-05,4.333333333333976e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_906d7d34aac3a744ae69e103,1.25,4,3e-05,nearest,schedule_next_after_transition,30,6.00000000000415e-06,5.8726381006853075e-05,2.6000000000000002e-05,5.333333333333334e-06,0.25,6.666666666673334e-07,1.2666666666675633e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_90a57e8c20c05845bd63b3ff,0.5,4,0.001,floor,schedule_next_after_transition,30,1.9333333333332893e-05,0.0017212055972672087,0.0009663333333333333,3.366666666666667e-05,0.25,1.1333333333332987e-05,2.7999999999999322e-05,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_90c16d0ebff1af6b8590c2e7,1.25,1,0.001,ceiling,schedule_next_after_transition,30,0.00024999999999999095,0.0015684574738457553,0.0005383333333333334,0.0005383333333333334,1.0,0.00021399999999998457,0.00028933333333331556,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_90cd646ab8243576dbda7574,1.0,4,0.003,nearest,schedule_next_after_transition,30,0.00018133333333333334,0.0057161781700383035,0.0027326666666666667,0.0006276666666666667,0.25,0.00014466666666666794,0.0002193333333333362,mean of workload-paired AF/DF estimates,workload replication
analysis_configuration_912b7343d8bbbc1b61c538e1,0.8,1,0.0003,floor,schedule_next_after_transition,30,6.533333333334131e-05,0.0005160301722497415,0.0003013333333333333,0.00013000000000000002,1.0,5.1333333333336564e-05,8.000000000000784e-05,mean of workload-paired AF/DF estimates,workload replication
