workload_id,rho,capacity,quantizer,arrival_scheduling_mode,n_valid_deltas,scaling_exponent,intercept,aggregation
workload_03747d4e586b362637cc002b,1.0,8,ceiling,preload_all,4,0.8993041228688188,-0.2432109955782491,AF/DF midpoint before one log-log slope per workload-design
workload_03747d4e586b362637cc002b,1.0,8,floor,preload_all,5,1.166034928352779,1.9348643968168509,AF/DF midpoint before one log-log slope per workload-design
workload_03747d4e586b362637cc002b,1.0,8,nearest,preload_all,6,0.9940774632914348,0.5326979956728872,AF/DF midpoint before one log-log slope per workload-design
workload_0377bbcf9a73c8fb4ac772cb,0.95,1,ceiling,preload_all,6,0.9057564822179992,-0.6929515054929474,AF/DF midpoint before one log-log slope per workload-design
workload_0377bbcf9a73c8fb4ac772cb,0.95,1,floor,preload_all,6,0.9796767989506006,0.3842948966313165,AF/DF midpoint before one log-log slope per workload-design
workload_0377bbcf9a73c8fb4ac772cb,0.95,1,nearest,preload_all,6,0.8426860735609212,-0.726137243160744,AF/DF midpoint before one log-log slope per workload-design
workload_0384fcc35043cdac35b005ef,1.25,1,ceiling,preload_all,6,0.8660284854104431,-0.6395729417622786,AF/DF midpoint before one log-log slope per workload-design
workload_0384fcc35043cdac35b005ef,1.25,1,floor,preload_all,5,1.1714551653946346,1.939236417982692,AF/DF midpoint before one log-log slope per workload-design
workload_0384fcc35043cdac35b005ef,1.25,1,nearest,preload_all,6,0.9484742044417628,0.2094368981188463,AF/DF midpoint before one log-log slope per workload-design
workload_038a8811b2824aabfe00d109,1.25,8,ceiling,preload_all,6,0.94141460725671,0.1300158520624791,AF/DF midpoint before one log-log slope per workload-design
workload_038a8811b2824aabfe00d109,1.25,8,floor,preload_all,5,1.0450550691942324,1.332145261211899,AF/DF midpoint before one log-log slope per workload-design
workload_038a8811b2824aabfe00d109,1.25,8,nearest,preload_all,6,1.003999599868104,0.8089137402924346,AF/DF midpoint before one log-log slope per workload-design
workload_048666e41aa24925f3392201,1.25,8,ceiling,preload_all,5,0.9529527115040252,0.3337708936995412,AF/DF midpoint before one log-log slope per workload-design
