model,n,r_squared,adjusted_r_squared,rmse,coefficient_const,standard_error_const,coefficient_total_collision_rate,standard_error_total_collision_rate,coefficient_mixed_collision_rate,standard_error_mixed_collision_rate,coefficient_critical_acceptance_difference_rate,standard_error_critical_acceptance_difference_rate
A_total_collision,5,0.5534609009716333,0.40461453462884434,3.722979134220491e-05,-0.0006908816359749287,0.0005744220411953137,0.058590806544261846,0.030384711847448655,,,,
B_mixed_collision,5,0.6190658093697217,0.49208774582629555,3.438633053578761e-05,-0.0020590033393270727,0.001121088343061219,,,0.24839455432828972,0.11249624094510512,,
C_critical_difference,5,0.27694881533733806,0.035931753783117415,4.7374580496221896e-05,0.0011958245614035689,0.0007279939843174756,,,,,-0.614035087719341,0.5728188834822356
D_adjusted,5,,,,,,,,,,,
