filename,figure_id,source_dataset,filtering_conditions,plotting_function,language,creation_timestamp
loss_rho-0.8_K-1_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=1,plot_run,ru,2026-07-27T08:56:15.571492+00:00
loss_rho-0.8_K-1_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=1,plot_run,ru,2026-07-27T08:56:15.571507+00:00
loss_rho-0.8_K-1_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=1,plot_run,ru,2026-07-27T08:56:15.571512+00:00
loss_rho-0.8_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-27T08:56:15.930922+00:00
loss_rho-0.8_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-27T08:56:15.930938+00:00
loss_rho-0.8_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=0.8;capacity=4,plot_run,ru,2026-07-27T08:56:15.930940+00:00
loss_rho-1.1_K-1_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=1,plot_run,ru,2026-07-27T08:56:16.449557+00:00
loss_rho-1.1_K-1_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=1,plot_run,ru,2026-07-27T08:56:16.449571+00:00
loss_rho-1.1_K-1_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=1,plot_run,ru,2026-07-27T08:56:16.449573+00:00
loss_rho-1.1_K-4_ru.png,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-27T08:56:16.794582+00:00
loss_rho-1.1_K-4_ru.svg,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-27T08:56:16.794600+00:00
loss_rho-1.1_K-4_ru.pdf,loss_vs_delta,quantized_with_accuracy.parquet,rho=1.1;capacity=4,plot_run,ru,2026-07-27T08:56:16.794603+00:00
policy_gap_ru.png,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-27T08:56:17.100035+00:00
policy_gap_ru.svg,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-27T08:56:17.100054+00:00
policy_gap_ru.pdf,policy_gap,paired_differences.parquet,all,plot_run,ru,2026-07-27T08:56:17.100057+00:00
collision_scaling_ru.png,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-27T08:56:17.404634+00:00
collision_scaling_ru.svg,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-27T08:56:17.404649+00:00
collision_scaling_ru.pdf,collision_scaling,quantized_with_accuracy.parquet,all,plot_run,ru,2026-07-27T08:56:17.404652+00:00
