configuration_id,rho,capacity,delta,quantizer,policy,arrival_scheduling_mode,n,mean_packet_loss,sd_packet_loss,mean_throughput,mean_waiting_time,mean_sojourn_time,mean_occupancy,mean_collision_event_fraction,mean_collided_tick_fraction,mean_mixed_collision_rate,mean_critical_acceptance_difference_rate,se_packet_loss,ci95_low_packet_loss,ci95_high_packet_loss
configuration_00099910ccd5b86ec04e3f22,1.0,16,0.001,floor,arrival_first,preload_all,30,0.05941333333333333,0.004018764034851523,0.9418811634739467,7.528471428237653,8.528359400577802,8.032126385052175,0.002460399068666266,0.001231037608897133,0.0009846666666666667,5.2000000000000004e-05,0.0007337225717262189,0.057975237092749946,0.06085142957391672
configuration_001e99873550ffab170877d1,1.25,8,0.003,floor,arrival_first,preload_all,30,0.23110799999999998,0.003764826689238152,0.9615965643482317,4.604598264118903,5.603316439193064,5.38790315778199,0.007811953771548813,0.003915494131906003,0.002885333333333333,0.000684,0.0006873601675977426,0.2297607740715084,0.23245522592849155
configuration_0020a992e5c82d38f218d80b,0.8,8,0.01,floor,arrival_first,schedule_next_after_transition,30,0.03806466666666666,0.0014892690485102324,0.7702009914268629,2.3526006061383877,3.3462357182608056,2.5772795587712056,0.021501850458463586,0.010825559135015643,0.009978666666666667,0.00037733333333333336,0.00027190208402110325,0.0375317385819853,0.038597594751348024
configuration_0023cdfb6e0d669705bea9f1,0.5,4,0.1,floor,insertion_order,schedule_next_after_transition,30,0.02911333333333333,0.0010112789216982954,0.48548986355971396,0.6829794671697561,1.6326820876513928,0.7926471520680746,0.15776226724257325,0.08345637567626635,0.09291466666666667,0.0028473333333333332,0.00018463342578121898,0.02875145181880214,0.02947521484786452
configuration_00268f8e7e46bc8df3cf6c98,1.1,8,0.01,ceiling,arrival_first,preload_all,30,0.159458,0.003938591906620505,0.9246691708880448,4.030360070598279,5.034525814780213,4.65501294267472,0.016084195768933662,0.008086716059899733,0.009270666666666667,0.0016006666666666667,0.0007190852106877772,0.15804859298705196,0.16086740701294802
configuration_003e001d5b4605a13bbb71be,0.95,8,0.03,ceiling,departure_first,preload_all,30,0.09384333333333333,0.0027256740176651193,0.8602531530370071,3.3495044267749234,4.364200498465103,3.754247689224557,0.04121079390470429,0.020907851339341307,0.025322,0.002753333333333333,0.0004976377146269735,0.09286796341266447,0.0948187032540022
configuration_003f35bd2e80e8c290bb0812,0.8,1,0.0003,ceiling,departure_first,schedule_next_after_transition,30,0.4446366666666667,0.0020655137681547383,0.4442102909430528,0.0,1.0013676467536405,0.4448021405197835,0.00028118839143256885,0.00014061521165157208,0.00011866666666666667,0.00011866666666666667,0.0003771094945519487,0.44389753205734483,0.4453758012759885
configuration_005f370c8b86d0844f14f364,0.5,1,0.03,nearest,arrival_first,preload_all,30,0.33712333333333333,0.0016672015233739027,0.33170117938746707,0.0,1.0013578194805772,0.33214769404494005,0.03206031056588505,0.01623380901726702,0.019432666666666664,0.009631333333333332,0.00030438796075295434,0.33652673293025753,0.33771993373640913
configuration_0070f8ef82d33613e7ac2ebc,0.5,8,0.0003,floor,arrival_first,schedule_next_after_transition,30,0.001942,0.0003449077837775552,0.4988145300848004,0.9659912189032217,1.9648720776661788,0.9801066068594327,0.0005371887419147279,0.000268669527225813,0.0003206666666666667,2.0000000000000003e-06,6.297125781136047e-05,0.0018185763346897335,0.0020654236653102663
configuration_008d26ee109ee8b3178303f1,1.25,1,0.1,floor,arrival_first,schedule_next_after_transition,30,0.555866,0.0020881613757165653,0.5550027278448408,0.0,0.950680679410977,0.5276042692426759,0.2017104978254902,0.10943349854132266,0.08970933333333334,0.04728133333333333,0.0003812443630636611,0.5551187610483952,0.5566132389516047
configuration_00980644219212fdc8296ce3,0.5,8,0.001,floor,arrival_first,preload_all,30,0.0019406666666666667,0.0003433097860466583,0.49881520596084195,0.9653666005382956,1.963900491404094,0.9796232601118221,0.0017213493059419116,0.0008612582290674867,0.0010113333333333333,2.0000000000000003e-06,6.26795046766757e-05,0.0018178148375003823,0.002063518495832951
configuration_009d04765167b9641b678466,1.25,1,0.0001,floor,insertion_order,preload_all,30,0.5555040000000001,0.0018075504476195612,0.5554541895476154,0.0,1.0002718290024941,0.5555815707806409,0.0002151083920526058,0.00010756773448275781,9.933333333333334e-05,5.333333333333333e-05,0.00033001205132993127,0.5548571763793935,0.5561508236206067
