pair_id,arrival_scheduling_mode,arrival_first_accepted_arrivals,departure_first_accepted_arrivals,insertion_order_accepted_arrivals,arrival_first_packet_loss_probability,departure_first_packet_loss_probability,insertion_order_packet_loss_probability,arrival_first_throughput,departure_first_throughput,insertion_order_throughput,insertion_matches_arrival_first_counts,insertion_loss_distance_arrival_first,insertion_matches_departure_first_counts,insertion_loss_distance_departure_first
pair_41cf0d8183eeb41307e78acf,preload_all,47937,47943,47937,0.04126,0.04114,0.04126,0.7678125520606366,0.7679086547644429,0.7678125520606366,True,0.0,False,0.00011999999999999511
pair_41cf3480eb07a4d5fa25e725,preload_all,43960,43966,43960,0.1208,0.12068,0.1208,0.69750309441631,0.6975982950206434,0.69750309441631,True,0.0,False,0.00012000000000000899
pair_41d0b8865d8e77edeae2671f,preload_all,47376,47376,47376,0.05248,0.05248,0.05248,0.9406404212197971,0.9406404212197971,0.9406404212197971,True,0.0,True,0.0
pair_41d0efc2c5b0423e39c63922,preload_all,43844,43865,43844,0.12312,0.1227,0.12312,0.7008405002815734,0.7011761824845182,0.7008405002815734,True,0.0,False,0.0004199999999999898
pair_41d16c1688827042d2c96750,schedule_next_after_transition,48055,48058,48058,0.0389,0.03884,0.03884,0.9073574539174099,0.9074140988526247,0.9074140988526247,False,5.9999999999997555e-05,True,0.0
pair_41d45613b610f459460ab4b4,schedule_next_after_transition,48062,48062,48062,0.03876,0.03876,0.03876,0.7642497491128614,0.7642497491128614,0.7642497491128614,True,0.0,True,0.0
pair_41d62270ea07e3bd0a9c9435,preload_all,40150,40140,40150,0.197,0.1972,0.197,0.7961770493111413,0.7959787486761946,0.7961770493111413,True,0.0,False,0.00019999999999997797
pair_41d753d3eba465141471a116,preload_all,48086,48086,48086,0.03828,0.03828,0.03828,0.7736022549679136,0.7736022549679136,0.7736022549679136,True,0.0,True,0.0
pair_41d8ea9a3d882bd15d01c280,preload_all,25699,25726,25699,0.48602,0.48548,0.48602,0.48582680315112337,0.48633722471169305,0.48582680315112337,True,0.0,False,0.0005399999999999849
pair_41da5114784f72bf89c70d30,schedule_next_after_transition,38638,38609,38609,0.22724,0.22782,0.22782,0.9645619471299827,0.963837988942013,0.963837988942013,False,0.0005799999999999972,True,0.0
pair_41dbd5cfbd86dfa7289cb563,preload_all,36755,37046,36755,0.2649,0.25908,0.2649,0.8121987815360953,0.818629194960854,0.8121987815360953,True,0.0,False,0.005820000000000047
pair_41dc51ee44bcc2ac0904618d,schedule_next_after_transition,25726,25769,25769,0.48548,0.48462,0.48462,0.48633725229358415,0.487150145936149,0.487150145936149,False,0.0008600000000000274,True,0.0
pair_41dc82fe18c09744c7b864cd,preload_all,50000,50000,50000,0.0,0.0,0.0,0.49778779916210447,0.49778779916210447,0.49778779916210447,True,0.0,True,0.0
pair_41dce689d676b57e5a6b0217,schedule_next_after_transition,43814,43805,43805,0.12372,0.1239,0.1239,0.9679740524452203,0.9677752172219583,0.9677752172219583,False,0.0001799999999999996,True,0.0
pair_41de1e8cca811f5676a5119d,preload_all,27742,27742,27742,0.44516,0.44516,0.44516,0.44252853611376014,0.44252853611376014,0.44252853611376014,True,0.0,True,0.0
pair_41e392d598d4dc9f78fea365,preload_all,43929,43929,43929,0.12142,0.12142,0.12142,0.701029621733541,0.701029621733541,0.701029621733541,True,0.0,True,0.0
pair_41e3fe4d6d0aa50aeb00dee8,schedule_next_after_transition,38275,38320,38320,0.2345,0.2336,0.2336,0.8397933241751432,0.8407690491674369,0.8407690491674369,False,0.0008999999999999841,True,0.0
pair_41e47d293a87cd415037f941,preload_all,38126,38126,38126,0.23748,0.23748,0.23748,0.8382524233348018,0.8382524233348018,0.8382524233348018,True,0.0,True,0.0
pair_41e47d4ab7e329f223c7de27,schedule_next_after_transition,39589,39586,39586,0.20822,0.20828,0.20828,0.994835169816798,0.9947597825751539,0.9947597825751539,False,6.0000000000004494e-05,True,0.0
pair_41e77af5e14440b23cb4057e,schedule_next_after_transition,44388,44378,44378,0.11224,0.11244,0.11244,0.9746635177753832,0.9744439396196258,0.9744439396196258,False,0.00019999999999999185,True,0.0
pair_41e8bd1dad2c89837931cd99,schedule_next_after_transition,27270,27632,27632,0.4546,0.44736,0.44736,0.4351891349215582,0.440966123071232,0.440966123071232,False,0.007240000000000024,True,0.0
pair_41eaef4c9eb55588989229e7,preload_all,25071,25074,25071,0.49858,0.49852,0.49858,0.49944287049187,0.4995026339082265,0.49944287049187,True,0.0,False,6.0000000000004494e-05
pair_41ebc3d902e1cabc176fc787,preload_all,38068,38068,38068,0.23864,0.23864,0.23864,0.8382629084943806,0.8382629084943806,0.8382629084943806,True,0.0,True,0.0
pair_41ecd1b585c5644931ec3d3b,preload_all,49694,49695,49694,0.00612,0.0061,0.00612,0.7953684695605504,0.7953844748825121,0.7953684695605504,True,0.0,False,1.9999999999999185e-05
pair_41ee7c21a9d34109a5b9673c,schedule_next_after_transition,49889,49889,49889,0.00222,0.00222,0.00222,0.49855672769030257,0.49855672769030257,0.49855672769030257,True,0.0,True,0.0
pair_41ef4f13fabba6561b94b13a,preload_all,49890,49891,49890,0.0022,0.00218,0.0022,0.5021861555460466,0.5021962214140672,0.5021861555460466,True,0.0,False,2.0000000000000052e-05
pair_41f3d00291d4c36b5554d753,preload_all,39557,39613,39557,0.20886,0.20774,0.20886,0.7943670366496858,0.7954916050965443,0.7943670366496858,True,0.0,False,0.0011199999999999821
pair_41f3e023e0c913a2cda02780,schedule_next_after_transition,49922,49922,49922,0.00156,0.00156,0.00156,0.49778976537980374,0.49778976537980374,0.49778976537980374,True,0.0,True,0.0
pair_41f4ac1adc37068526c79271,schedule_next_after_transition,44016,44017,44017,0.11968,0.11966,0.11966,0.7013374710799473,0.7013534047738559,0.7013534047738559,False,1.9999999999992246e-05,True,0.0
pair_41f5bd9624c4178e529c2a33,preload_all,41707,41628,41707,0.16586,0.16744,0.16586,0.9200281212230306,0.9182854348256244,0.9200281212230306,True,0.0,False,0.001579999999999998
pair_41f5d9f8d230048ea10aba15,schedule_next_after_transition,42074,42053,42053,0.15852,0.15894,0.15894,0.9359975991619313,0.9355104441566803,0.9355104441566803,False,0.0004200000000000037,True,0.0
pair_41f86affae5045df57c47244,schedule_next_after_transition,33339,33339,33339,0.33322,0.33322,0.33322,0.3321856643287071,0.3321856643287071,0.3321856643287071,True,0.0,True,0.0
pair_41f8739f2f6fc7a0d7fbdd7c,preload_all,22247,22261,22247,0.55506,0.55478,0.55506,0.5535341990432047,0.5538825371915664,0.5535341990432047,True,0.0,False,0.00027999999999994696
pair_41f90ffe205fe3db3bb006f0,schedule_next_after_transition,38609,38648,38648,0.22782,0.22704,0.22704,0.9638383979846992,0.9648119973403262,0.9648119973403262,False,0.0007800000000000029,True,0.0
pair_41fa5a0331fbce006ec0b4e9,preload_all,48037,48038,48037,0.03926,0.03924,0.03926,0.7711427799182713,0.7711588330185881,0.7711427799182713,True,0.0,False,2.0000000000006124e-05
pair_41fd29c44fdc543d9ef387b2,schedule_next_after_transition,25729,25736,25736,0.48542,0.48528,0.48528,0.4864668952140287,0.4865992465788893,0.4865992465788893,False,0.000140000000000029,True,0.0
pair_41fd393e31213355974d0f69,preload_all,40971,41005,40971,0.18058,0.1799,0.18058,0.774437129129372,0.7750797998572136,0.774437129129372,True,0.0,False,0.0006799999999999862
pair_41fe528566560c51f934aca5,schedule_next_after_transition,48353,48353,48353,0.03294,0.03294,0.03294,0.481071723492951,0.481071723492951,0.481071723492951,True,0.0,True,0.0
pair_41ff382fd7fef7f68ecd8ff6,preload_all,48406,48406,48406,0.03188,0.03188,0.03188,0.4824209175246209,0.4824209175246209,0.4824209175246209,True,0.0,True,0.0
pair_41ffb216c66c4f4bd54cb493,schedule_next_after_transition,40005,40036,40036,0.1999,0.19928,0.19928,0.7972566638341021,0.7978744605239873,0.7978744605239873,False,0.0006199999999999817,True,0.0
pair_42011e93190fd1d384e4c52e,preload_all,46675,46675,46675,0.0665,0.0665,0.0665,0.9368073007473292,0.9368073007473292,0.9368073007473292,True,0.0,True,0.0
pair_420637edac87f41c23631518,schedule_next_after_transition,38921,38921,38921,0.22158,0.22158,0.22158,0.9663776716486645,0.9663776716486645,0.9663776716486645,True,0.0,True,0.0
pair_420672f483bc7fb60c229f80,preload_all,42029,42067,42029,0.15942,0.15866,0.15942,0.9264661957440617,0.9273038486846094,0.9264661957440617,True,0.0,False,0.0007600000000000107
pair_4206c1666b6d32e0d9a44d97,preload_all,48417,48417,48417,0.03166,0.03166,0.03166,0.4800420504819555,0.4800420504819555,0.4800420504819555,True,0.0,True,0.0
pair_4208374c1a67e5cdaa3e5c9d,schedule_next_after_transition,25528,25934,25934,0.48944,0.48132,0.48132,0.4835263328463597,0.4912163865574073,0.4912163865574073,False,0.00811999999999996,True,0.0
pair_4209f3a3d1f9610adf0608a8,schedule_next_after_transition,50000,50000,50000,0.0,0.0,0.0,0.497787801144446,0.497787801144446,0.497787801144446,True,0.0,True,0.0
pair_420a4c01f2e8c5e2cf8ea428,schedule_next_after_transition,39659,39656,39656,0.20682,0.20688,0.20688,0.9966153927032544,0.9965341439094214,0.9965341439094214,False,6.0000000000004494e-05,True,0.0
pair_420b9b55a108c3e27a1d0de3,preload_all,34929,34929,34929,0.30142,0.30142,0.30142,0.8753324240842526,0.8753324240842526,0.8753324240842526,True,0.0,True,0.0
pair_420e7b5e3d548f014738a315,schedule_next_after_transition,37787,37787,37787,0.24426,0.24426,0.24426,0.838037787651902,0.838037787651902,0.838037787651902,True,0.0,True,0.0
pair_420fafc001653854c5082382,preload_all,22111,22115,22111,0.55778,0.5577,0.55778,0.5545527241221914,0.5546530457221411,0.5545527241221914,True,0.0,False,8.000000000008001e-05
pair_421193debc733fe462ad59d1,schedule_next_after_transition,40163,40163,40163,0.19674,0.19674,0.19674,0.8019036220430639,0.8019036220430639,0.8019036220430639,True,0.0,True,0.0
pair_421224c4319f6a14eaa0829a,preload_all,25655,25658,25655,0.4869,0.48684,0.4869,0.4874394556686555,0.4874964550203221,0.4874394556686555,True,0.0,False,6.0000000000004494e-05
pair_4213c5ab74090efed39188ae,preload_all,40858,40856,40858,0.18284,0.18288,0.18284,0.775069568080352,0.7750316284079216,0.775069568080352,True,0.0,False,3.999999999998449e-05
pair_42153a7f65b2e3d8ea5e57f0,schedule_next_after_transition,24966,25117,25117,0.50068,0.49766,0.49766,0.4972318252267776,0.5002391954746844,0.5002391954746844,False,0.0030200000000000227,True,0.0
pair_42157cf2f955f35be9794d56,schedule_next_after_transition,50000,50000,50000,0.0,0.0,0.0,0.5010542180748294,0.5010542180748294,0.5010542180748294,True,0.0,True,0.0
pair_4216163983bbf8b02cb93d82,preload_all,49761,49761,49761,0.00478,0.00478,0.00478,0.7957555100563981,0.7957555100563981,0.7957555100563981,True,0.0,True,0.0
pair_421ac2545ff52fdd93834b09,preload_all,41188,41253,41188,0.17624,0.17494,0.17624,0.7788861859463123,0.7801153692542299,0.7788861859463123,True,0.0,False,0.0012999999999999956
pair_421d413b552643a844b9a58a,preload_all,49655,49656,49655,0.0069,0.00688,0.0069,0.7954521061098346,0.7954681256870396,0.7954521061098346,True,0.0,False,2.0000000000000052e-05
pair_4220abf35e62e96164654ff2,schedule_next_after_transition,44187,44371,44371,0.11626,0.11258,0.11258,0.7036729155917368,0.7066030945237503,0.7066030945237503,False,0.0036800000000000027,True,0.0
pair_4222781fe0e0d9287089f011,schedule_next_after_transition,34932,34934,34934,0.30136,0.30132,0.30132,0.8718328839819994,0.8718827999836015,0.8718827999836015,False,4.0000000000040004e-05,True,0.0
pair_4223f948a9099e9c756f9afb,preload_all,48051,48047,48051,0.03898,0.03906,0.03898,0.7648273945443553,0.7647637265753604,0.7648273945443553,True,0.0,False,7.999999999999674e-05
pair_422800a66b0ab673208eb267,preload_all,38385,38417,38385,0.2323,0.23166,0.2323,0.9648520861768631,0.9656831447230168,0.9648520861768631,True,0.0,False,0.0006400000000000017
pair_4229410dbe1ee12e9414c42f,schedule_next_after_transition,40174,40174,40174,0.19652,0.19652,0.19652,1.0042591469345599,1.0042591469345599,1.0042591469345599,True,0.0,True,0.0
pair_422b2cdd4ed644de6c6080a3,schedule_next_after_transition,22149,22150,22150,0.55702,0.557,0.557,0.5543460192938319,0.5543710473320861,0.5543710473320861,False,1.999999999990898e-05,True,0.0
pair_422bd1fc5a10b6fd755acf08,preload_all,41772,41750,41772,0.16456,0.165,0.16456,0.9258465039054578,0.925358889640258,0.9258465039054578,True,0.0,False,0.00043999999999999595
pair_422c07363480e3c121800b02,schedule_next_after_transition,25743,25771,25771,0.48514,0.48458,0.48458,0.48707967382633865,0.4876094578789797,0.4876094578789797,False,0.0005600000000000049,True,0.0
pair_422d7a1f4bdc6fe186feac4f,preload_all,33287,33287,33287,0.33426,0.33426,0.33426,0.3344593894816466,0.3344593894816466,0.3344593894816466,True,0.0,True,0.0
pair_423194c1a90d9488097944fe,preload_all,47935,47935,47935,0.0413,0.0413,0.0413,0.7691410810526199,0.7691410810526199,0.7691410810526199,True,0.0,True,0.0
pair_42366dc800099cd266103a39,schedule_next_after_transition,35171,35178,35178,0.29658,0.29644,0.29644,0.8786508503684407,0.8788257261454325,0.8788257261454325,False,0.000140000000000029,True,0.0
pair_4236b5be31a02e2cf9c9446c,preload_all,43145,43307,43145,0.1371,0.13386,0.1371,0.6936885516066017,0.6962931997781225,0.6936885516066017,True,0.0,False,0.003239999999999993
pair_4236cd36c70440bd59420cb2,preload_all,39959,39959,39959,0.20082,0.20082,0.20082,0.7978654262323429,0.7978654262323429,0.7978654262323429,True,0.0,True,0.0
pair_423a363ed221744e595b181e,preload_all,34871,35113,34871,0.30258,0.29774,0.30258,0.8738766733995258,0.8799390535762168,0.8738766733995258,True,0.0,False,0.004840000000000011
pair_423a9c991472a99c61379712,preload_all,44695,44704,44695,0.1061,0.10592,0.1061,0.9820783176641359,0.9822760736739575,0.9820783176641359,True,0.0,False,0.0001799999999999996
pair_423aea6a63ffbeb7bc28f594,schedule_next_after_transition,33120,33481,33481,0.3376,0.33038,0.33038,0.33308673651028886,0.3367173014825176,0.3367173014825176,False,0.007220000000000004,True,0.0
pair_423b087a8eda149e23658a3d,schedule_next_after_transition,46928,46929,46929,0.06144,0.06142,0.06142,0.9413454751494043,0.9413655345057619,0.9413655345057619,False,1.9999999999999185e-05,True,0.0
pair_423e528ff2625a7181360b08,schedule_next_after_transition,33448,33483,33483,0.33104,0.33034,0.33034,0.3329468231624241,0.3332952188455945,0.3332952188455945,False,0.0006999999999999784,True,0.0
pair_423ebc37579988cd3d2eb12f,schedule_next_after_transition,25626,25626,25626,0.48748,0.48748,0.48748,0.488972701041066,0.488972701041066,0.488972701041066,True,0.0,True,0.0
pair_4242afa589de2d3798e547e7,schedule_next_after_transition,39806,39919,39919,0.20388,0.20162,0.20162,0.9958769902028481,0.9987302897816474,0.9987302897816474,False,0.002260000000000012,True,0.0
pair_4242f29179370419c29d8cd3,schedule_next_after_transition,43268,43370,43370,0.13464,0.1326,0.1326,0.8677306401087772,0.869791927801454,0.869791927801454,False,0.002040000000000014,True,0.0
pair_424303a62d76e1426ac8c3c7,schedule_next_after_transition,44160,44160,44160,0.1168,0.1168,0.1168,0.9704505334863585,0.9704505334863585,0.9704505334863585,True,0.0,True,0.0
pair_424576f91799435f1ea7ae6d,preload_all,45807,45807,45807,0.08386,0.08386,0.08386,0.8611885976238268,0.8611885976238268,0.8611885976238268,True,0.0,True,0.0
pair_4246e3bccafb8d25d8f0b949,preload_all,38346,38434,38346,0.23308,0.23132,0.23308,0.8434586423496481,0.8453942904101177,0.8434586423496481,True,0.0,False,0.0017600000000000116
pair_42478deb3a77a006d508429f,schedule_next_after_transition,48439,48439,48439,0.03122,0.03122,0.03122,0.4833950356840325,0.4833950356840325,0.4833950356840325,True,0.0,True,0.0
pair_42491f2e8eab615e7d546b9f,schedule_next_after_transition,48297,48297,48297,0.03406,0.03406,0.03406,0.4820952959369579,0.4820952959369579,0.4820952959369579,True,0.0,True,0.0
pair_424992c5ac9216a994b36c01,preload_all,39948,39955,39948,0.20104,0.2009,0.20104,0.7989810451607295,0.7991210488484267,0.7989810451607295,True,0.0,False,0.00014000000000000123
pair_424cfc9b31e25a49892e3afb,schedule_next_after_transition,41015,41017,41017,0.1797,0.17966,0.17966,0.7836388961396743,0.7836771084471784,0.7836771084471784,False,4.000000000001225e-05,True,0.0
pair_424dfec5bb3fa989ee792ab6,preload_all,23783,23912,23783,0.52434,0.52176,0.52434,0.5223943377663892,0.5252278267951855,0.5223943377663892,True,0.0,False,0.0025800000000000267
pair_424fd60161118ef1a8091190,schedule_next_after_transition,27817,27818,27818,0.44366,0.44364,0.44364,0.4477097367135195,0.44772583153814877,0.44772583153814877,False,2.0000000000020002e-05,True,0.0
pair_42509bdfabad4afb1246a24e,preload_all,44454,44454,44454,0.11092,0.11092,0.11092,0.8877085481716721,0.8877085481716721,0.8877085481716721,True,0.0,True,0.0
pair_4253b91ca34694a635a62b52,preload_all,40003,40024,40003,0.19994,0.19952,0.19994,0.995440849555003,0.9959634168084753,0.995440849555003,True,0.0,False,0.0004200000000000037
pair_42544151e01e9618e03f9953,schedule_next_after_transition,22355,22709,22709,0.5529,0.54582,0.54582,0.556119428233105,0.5649257926971855,0.5649257926971855,False,0.007079999999999975,True,0.0
pair_425d7b6b03c681b2e69c2b71,schedule_next_after_transition,39579,39598,39598,0.20842,0.20804,0.20804,0.7943432022633935,0.7947245287456948,0.7947245287456948,False,0.00037999999999999146,True,0.0
pair_426083989be4f737f83d1a47,schedule_next_after_transition,48192,48216,48216,0.03616,0.03568,0.03568,0.4845032258492606,0.484744512316317,0.484744512316317,False,0.0004799999999999943,True,0.0
pair_4261566caac64e864c32d5be,preload_all,27973,27975,27973,0.44054,0.4405,0.44054,0.4461241032081194,0.4461559999730862,0.4461241032081194,True,0.0,False,3.999999999998449e-05
pair_4261f37c6ed9e82988f02337,preload_all,35194,35199,35194,0.29612,0.29602,0.29612,0.8786566744040749,0.8787815048687001,0.8786566744040749,True,0.0,False,9.999999999998899e-05
pair_4265ba7e5b33f9be33bf723a,preload_all,22206,22217,22206,0.55588,0.55566,0.55588,0.5543286789128887,0.5546032720619495,0.5543286789128887,True,0.0,False,0.00021999999999999797
pair_42672f2b0dea0b01696dc601,preload_all,44659,44639,44659,0.10682,0.10722,0.10682,0.9747383820320239,0.9743018570842946,0.9747383820320239,True,0.0,False,0.0003999999999999976
pair_426940ba0a0f87bdbbe30394,preload_all,39772,39761,39772,0.20456,0.20478,0.20456,0.9947905585811768,0.9945154229042082,0.9947905585811768,True,0.0,False,0.00021999999999999797
pair_4269d2e13e4f33365c47f64b,preload_all,25712,25749,25712,0.48576,0.48502,0.48576,0.48649309958202697,0.4871931713261361,0.48649309958202697,True,0.0,False,0.0007400000000000184
pair_426b35846ca2c34f4a2019c1,schedule_next_after_transition,44588,44588,44588,0.10824,0.10824,0.10824,0.8888314248913823,0.8888314248913823,0.8888314248913823,True,0.0,True,0.0
pair_426bdaf92d9192131ae552a7,preload_all,38041,38038,38041,0.23918,0.23924,0.23918,0.8346576939180766,0.8345918709091716,0.8346576939180766,True,0.0,False,6.0000000000004494e-05
pair_426d27b6157ddf51abaf3feb,schedule_next_after_transition,49708,49708,49708,0.00584,0.00584,0.00584,0.8028485599252825,0.8028485599252825,0.8028485599252825,True,0.0,True,0.0
pair_426e969f0a51c295626fa670,schedule_next_after_transition,27769,27769,27769,0.44462,0.44462,0.44462,0.4459582340484199,0.4459582340484199,0.4459582340484199,True,0.0,True,0.0
pair_426ea2853f041bf5e58808ed,schedule_next_after_transition,48293,48361,48361,0.03414,0.03278,0.03278,0.4801580475912557,0.48083414448389444,0.48083414448389444,False,0.00136,True,0.0
pair_426f7a733296ac774b2a4caf,schedule_next_after_transition,40174,40199,40199,0.19652,0.19602,0.19602,0.9950544500908637,0.9956729256917252,0.9956729256917252,False,0.0005000000000000004,True,0.0
pair_4272807a2edcfcf5bb26047f,schedule_next_after_transition,35209,35227,35227,0.29582,0.29546,0.29546,0.8740072251992101,0.8744540464680217,0.8744540464680217,False,0.00036000000000002697,True,0.0
