rho,capacity,n_deltas,intercept,scaling_exponent,standard_error,ci95_low,ci95_high,r_squared
0.8,1,2,1.3936346830946746,1.1205075045219763,,,,1.0
0.8,4,2,0.3668184874073521,0.9269663069334428,,,,1.0
1.1,4,2,1.7089981732686503,1.1860508274695376,inf,-inf,inf,0.9999999999999998
