rho,capacity,delta,quantizer,n,mean_loss_gap_AF_DF,sd_loss_gap_AF_DF,median_loss_gap_AF_DF,iqr_loss_gap_AF_DF,bootstrap_ci95_low,bootstrap_ci95_high
0.8,8,1e-05,floor,30.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,8,3e-05,floor,30.0,6.666666666666395e-07,3.651483716700958e-06,0.0,0.0,0.0,1.9999999999999186e-06
0.8,8,0.0001,floor,30.0,1.9999999999999186e-06,6.102571532587043e-06,0.0,0.0,0.0,3.999999999999837e-06
0.8,8,0.0003,floor,30.0,2.6666666666670205e-06,1.6386144974534143e-05,0.0,0.0,-2.666666666666558e-06,8.666666666667244e-06
0.8,8,0.001,floor,30.0,4.666666666666477e-06,2.95638797945358e-05,0.0,1.9999999999999185e-05,-5.333333333334047e-06,1.4666666666666538e-05
0.8,8,0.003,floor,30.0,2.6666666666666504e-05,6.753458032911631e-05,1.9999999999999185e-05,9.499999999999613e-05,3.333333333333186e-06,4.86666666666663e-05
0.8,8,0.01,floor,30.0,8.933333333333316e-05,8.737289618929754e-05,8.999999999999633e-05,0.00013500000000000144,6.0666666666666964e-05,0.0001219999999999999
0.8,8,0.03,floor,30.0,0.00025266666666666656,0.00011073215068534724,0.0002500000000000002,0.00010999999999999725,0.00021398333333333273,0.0002947000000000002
0.8,8,0.1,floor,30.0,0.0007826666666666665,0.00026149350006207184,0.0007799999999999994,0.0004099999999999998,0.0006912999999999999,0.0008786999999999989
1.0,8,1e-05,floor,30.0,-1.333333333333279e-06,7.302967433401916e-06,0.0,0.0,-3.999999999999837e-06,0.0
1.0,8,3e-05,floor,30.0,-6.666666666664083e-07,3.651483716699692e-06,0.0,0.0,-1.9999999999992245e-06,0.0
1.0,8,0.0001,floor,30.0,4.66666666666717e-06,2.1452969143163216e-05,0.0,0.0,-1.3500000000003778e-06,1.266666666666777e-05
1.0,8,0.0003,floor,30.0,-1.3999999999999198e-05,7.775292432686453e-05,0.0,2.0000000000006124e-05,-4.5333333333333335e-05,1.0666666666666244e-05
1.0,8,0.001,floor,30.0,-1.3333333333337417e-06,8.451620262261563e-05,0.0,7.499999999999868e-05,-3.133333333333321e-05,2.868333333333236e-05
1.0,8,0.003,floor,30.0,6.133333333333361e-05,0.0001540204494558289,3.999999999999837e-05,0.00016000000000000736,8.666666666666961e-06,0.000118000000000001
1.0,8,0.01,floor,30.0,0.00015133333333333435,0.0002112480701129289,0.00014000000000000123,0.0002550000000000087,8.133333333333462e-05,0.00021935000000000324
1.0,8,0.03,floor,30.0,0.0003899999999999996,0.0003227788823584219,0.00039000000000000146,0.0003849999999999999,0.0002779999999999999,0.0005060499999999991
1.0,8,0.1,floor,30.0,0.0011940000000000026,0.0005531888746481454,0.001130000000000006,0.0007600000000000003,0.0010165666666666693,0.0013920833333333352
1.1,8,1e-05,floor,30.0,1.9999999999992245e-06,6.102571532584927e-06,0.0,0.0,0.0,4.666666666664857e-06
1.1,8,3e-05,floor,30.0,-6.666666666665932e-06,4.1133368728911845e-05,0.0,0.0,-2.1999999999999796e-05,4.666666666668559e-06
1.1,8,0.0001,floor,30.0,-2.000000000001075e-06,3.2525851787196845e-05,0.0,0.0,-1.4000000000001048e-05,8.666666666664255e-06
1.1,8,0.0003,floor,30.0,2.5333333333334614e-05,6.966586921393435e-05,0.0,3.999999999998449e-05,3.3333333333356724e-06,5.26666666666666e-05
1.1,8,0.001,floor,30.0,1.2666666666667307e-05,0.00014493597476682128,2.0000000000006124e-05,0.00018000000000000654,-4.001666666666503e-05,5.866666666666613e-05
1.1,8,0.003,floor,30.0,-1.3333333333291156e-06,0.00027200067613168194,-1.9999999999992246e-05,0.0003549999999999942,-0.00010333333333332578,9.40000000000006e-05
1.1,8,0.01,floor,30.0,-6.666666666673334e-07,0.0003969707131847837,6.0000000000004494e-05,0.0005050000000000193,-0.0001393500000000023,0.0001313499999999998
1.1,8,0.03,floor,30.0,0.00044599999999999826,0.0006559468018799643,0.0004899999999999904,0.0008450000000000055,0.00023128333333333241,0.0006780333333333296
1.1,8,0.1,floor,30.0,0.0014239999999999993,0.000799075327682155,0.0013999999999999985,0.0009450000000000083,0.001154616666666665,0.0017122333333333363
